Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
ESN,bracket_matching,0.725,,0.727082496989161,0.725,2362.9637775389156,10.096816778182983,3.5277135372161865,4.36328125,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 57, 'spectral_radius': 0.20983905576041706, 'leak_rate': 0.7434105146372507}",{},406
ESN,bracket_matching,0.71,,0.7107278959572537,0.71,4787.08917971428,10.365027666091919,3.5740275382995605,35.859375,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 86, 'spectral_radius': 0.03292716579419308, 'leak_rate': 0.14204416524425156}",{},862
ESN,bracket_matching,0.74,,0.7507468671679197,0.74,2933.435353622855,10.204283475875854,3.5483696460723877,-25.97265625,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 65, 'spectral_radius': 0.6948778926606987, 'leak_rate': 0.8370811775406185}",{},514
ESN,bracket_matching,0.73,,0.7315636619435233,0.73,69617.87021119482,13.883108377456665,4.233726978302002,38.05078125,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 355, 'spectral_radius': 0.07048461297348785, 'leak_rate': 0.5924525119748733}",{},13100
ESN,bracket_matching,0.745,,0.7592652979066022,0.745,106048.48219891838,15.515592336654663,4.505999565124512,-20.10546875,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 440, 'spectral_radius': 0.4839054180280271, 'leak_rate': 0.6065278447413183}",{},19977
ESN,bracket_matching,0.69,,0.6939475527975177,0.69,14565.028148252955,11.145822286605835,3.7379400730133057,-31.38671875,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 157, 'spectral_radius': 0.9853899867485221, 'leak_rate': 0.9776048597652632}",{},2686
ESN,bracket_matching,0.78,,0.79349412119385,0.78,139054.08824240405,17.09862446784973,4.773856163024902,46.9921875,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 505, 'spectral_radius': 0.49964007908059893, 'leak_rate': 0.3245585415777449}",{},26210
ESN,bracket_matching,0.785,,0.7928941576630651,0.785,47523.381785219644,12.921191692352295,4.07758092880249,-8.7734375,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 292, 'spectral_radius': 0.2528300067784677, 'leak_rate': 0.425905838341587}",{},8936
ESN,bracket_matching,0.77,,0.7752305230523052,0.77,82841.15986623033,14.443125009536743,4.348507881164551,-10.0,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 388, 'spectral_radius': 0.42858206270456567, 'leak_rate': 0.6722476982018792}",{},15598
ESN,bracket_matching,0.76,,0.7687999199279352,0.76,4937.774780755668,10.297047138214111,3.5978283882141113,13.88671875,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 88, 'spectral_radius': 0.5457035073294633, 'leak_rate': 0.37161591715282283}",{},898
ESN,bracket_matching,0.76,,0.7625263157894737,0.76,104170.7000314727,15.406280755996704,4.531493663787842,-16.3828125,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 436, 'spectral_radius': 0.27518321443701554, 'leak_rate': 0.8208563206991921}",{},19622
ESN,bracket_matching,0.71,,0.718589730757682,0.71,94432.09023918697,14.989108085632324,4.388429164886475,36.95703125,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 414, 'spectral_radius': 0.848707548920423, 'leak_rate': 0.40269822253386}",{},17720
ESN,bracket_matching,0.76,,0.7637794014613152,0.76,1899.0171519396238,10.071731328964233,3.533399820327759,0.0,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 50, 'spectral_radius': 0.6587288416973988, 'leak_rate': 0.7773089945548821}",{},321
ESN,bracket_matching,0.76,,0.7687999199279352,0.76,6002.085917128719,10.444181442260742,3.5873894691467285,-8.3359375,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 98, 'spectral_radius': 0.6694988830992906, 'leak_rate': 0.2991362313750494}",{},1098
ESN,bracket_matching,0.715,,0.7338555194805194,0.715,121148.76043745784,16.146130800247192,4.597998380661011,-49.7578125,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 470, 'spectral_radius': 0.7081071244340722, 'leak_rate': 0.5152598589329861}",{},22749
ESN,bracket_matching,0.79,,0.8011478696741855,0.79,14988.079164814792,11.244092226028442,3.7596795558929443,-0.6328125,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 160, 'spectral_radius': 0.733259408618524, 'leak_rate': 0.28734360837068884}",{},2785
ESN,bracket_matching,0.725,,0.744135551948052,0.725,128138.97020781833,16.543180465698242,4.697097063064575,14.2109375,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'n_units': 484, 'spectral_radius': 0.6211045997100598, 'leak_rate': 0.3796811973418249}",{},24104
