Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
ESN,chaotic_forecasting,,634046.2633063296,,,23316.711346030672,2.6902239322662354,0.020332813262939453,0.015625,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 180, 'spectral_radius': 0.5928446182250183, 'leak_rate': 0.8442657485810173}",{},3855
ESN,chaotic_forecasting,,8657260.917692589,,,43639.32969241601,2.7714426517486572,0.021156787872314453,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 259, 'spectral_radius': 0.5448831829968969, 'leak_rate': 0.4236547993389047}",{},7592
ESN,chaotic_forecasting,,9830437.977364244,,,51622.8193983825,2.7800405025482178,0.021233797073364258,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 285, 'spectral_radius': 0.3843817072926998, 'leak_rate': 0.2975346065444723}",{},9094
ESN,chaotic_forecasting,,212035.62588670998,,,133408.60539454067,2.938445568084717,0.02419137954711914,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 480, 'spectral_radius': 0.9636627605010293, 'leak_rate': 0.3834415188257777}",{},24675
ESN,chaotic_forecasting,,8070098.25394246,,,141612.36452458202,2.937669277191162,0.02465367317199707,1.7890625,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 494, 'spectral_radius': 0.8121687287754932, 'leak_rate': 0.4799771723750573}",{},26086
ESN,chaotic_forecasting,,1253142.199526473,,,72319.349920387,2.8250694274902344,0.022171735763549805,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 345, 'spectral_radius': 0.925596638292661, 'leak_rate': 0.07103605819788694}",{},13078
ESN,chaotic_forecasting,,508530.5914463286,,,47268.671389438554,2.760524034500122,0.021419763565063477,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 273, 'spectral_radius': 0.6481718720511972, 'leak_rate': 0.36824153984054797}",{},8384
ESN,chaotic_forecasting,,29628368.807880264,,,29632.922761749785,2.7041430473327637,0.02039480209350586,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 205, 'spectral_radius': 0.7781567509498505, 'leak_rate': 0.8700121482468192}",{},4902
ESN,chaotic_forecasting,,1308715.1812598065,,,72720.10374982058,2.8342339992523193,0.022250652313232422,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 346, 'spectral_radius': 0.4736080452737105, 'leak_rate': 0.8009107519796442}",{},13152
ESN,chaotic_forecasting,,1686691.5641298108,,,53866.45200149568,2.7983429431915283,0.02169656753540039,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 293, 'spectral_radius': 0.7805291762864555, 'leak_rate': 0.11827442586893322}",{},9584
ESN,chaotic_forecasting,,3158946.452057887,,,54988.029589386046,2.790273427963257,0.021578311920166016,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 296, 'spectral_radius': 0.5820197920751071, 'leak_rate': 0.5373732294490107}",{},9772
ESN,chaotic_forecasting,,71.37090864512294,,,2657.4974192061763,2.6109979152679443,0.018596410751342773,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 40, 'spectral_radius': 0.5218483217500717, 'leak_rate': 0.4146619399905236}",{},299
ESN,chaotic_forecasting,,242147.2770691296,,,21285.680060175655,2.6498239040374756,0.020209789276123047,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 171, 'spectral_radius': 0.18633234332675996, 'leak_rate': 0.7369181771289581}",{},3508
