Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
ESN,continue_postcasting,,0.17916096325758163,,,4395.622243128589,1.071962594985962,0.018638134002685547,0.0390625,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 89, 'spectral_radius': 0.9202717543398119, 'leak_rate': 0.3662443196462556}",{},900
ESN,continue_postcasting,,12.870754880717326,,,11808.519905816212,1.0695414543151855,0.02027130126953125,0.0,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 141, 'spectral_radius': 0.7087703909410487, 'leak_rate': 0.0439754320240906}",{},2158
ESN,continue_postcasting,,1.6115508382901635,,,137630.90942764556,1.3385326862335205,0.025951147079467773,-5.26953125,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 506, 'spectral_radius': 0.1786356383568154, 'leak_rate': 0.11586145334438269}",{},26213
ESN,continue_postcasting,,0.21079903278013443,,,1393.7402416112286,1.0834851264953613,0.018375635147094727,0.0,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 51, 'spectral_radius': 0.2244136119208402, 'leak_rate': 0.953675696427313}",{},322
ESN,continue_postcasting,,0.029010282153348603,,,137402.81851748662,1.3921160697937012,0.02582859992980957,0.0,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 507, 'spectral_radius': 0.5398133777638715, 'leak_rate': 0.8682549840773977}",{},26315
ESN,continue_postcasting,,15.967879708731052,,,112996.3710321513,1.3502235412597656,0.024840831756591797,0.0,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 457, 'spectral_radius': 0.4567036258604842, 'leak_rate': 0.020950069267730465}",{},21435
ESN,continue_postcasting,,0.21674492204387846,,,8980.975058159473,1.159712791442871,0.019410133361816406,0.6484375,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 127, 'spectral_radius': 0.04679178811206386, 'leak_rate': 0.9980254861986478}",{},1767
ESN,continue_postcasting,,0.23622625198215239,,,118597.16695950528,1.3587076663970947,0.02521657943725586,-0.6484375,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 470, 'spectral_radius': 0.5886390002919866, 'leak_rate': 0.7532401195921768}",{},22655
ESN,continue_postcasting,,0.03356483711757807,,,106058.56903932929,1.3092408180236816,0.024939775466918945,0.0,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 445, 'spectral_radius': 0.7441012309528879, 'leak_rate': 0.8398065242143142}",{},20336
ESN,continue_postcasting,,0.06326626241703336,,,121369.13963684942,1.3854029178619385,0.025127410888671875,0.0,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 476, 'spectral_radius': 0.948540301128841, 'leak_rate': 0.7782761672964438}",{},23231
ESN,continue_postcasting,,0.010650309308122555,,,113065.62207341651,1.3846631050109863,0.02485179901123047,0.0,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 460, 'spectral_radius': 0.670761655944734, 'leak_rate': 0.8762848912577971}",{},21713
ESN,continue_postcasting,,0.8553136769533028,,,3837.3622104797614,1.0861327648162842,0.0188446044921875,0.0,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 80, 'spectral_radius': 0.995815292959635, 'leak_rate': 0.1293557610386996}",{},737
ESN,continue_postcasting,,5.22932783997852,,,62035.057883273796,1.2036430835723877,0.022426605224609375,3.99609375,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 337, 'spectral_radius': 0.2526999344534657, 'leak_rate': 0.07275408464559052}",{},11763
ESN,continue_postcasting,,0.17336614695969646,,,41973.80869555435,1.1409828662872314,0.021703243255615234,0.0,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 278, 'spectral_radius': 0.9649249408484396, 'leak_rate': 0.7193890620039736}",{},8063
ESN,continue_postcasting,,0.12207833961831002,,,94807.6642500139,1.2731590270996094,0.023482322692871094,-3.99609375,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 420, 'spectral_radius': 0.28830055336939087, 'leak_rate': 0.9211922084190198}",{},18145
ESN,continue_postcasting,,0.17980775447037248,,,7476.310059685614,1.0732450485229492,0.019193649291992188,0.58203125,"{'sequence_length': 1000, 'delay': 10}","{'n_units': 116, 'spectral_radius': 0.12729402542007473, 'leak_rate': 0.5258089530767229}",{},1487
