Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
ESN,copy_task,0.0,,0.0,0.0,212954.61033323273,15.682664632797241,2.4034810066223145,-0.48828125,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'n_units': 353, 'spectral_radius': 0.5368827492769872, 'leak_rate': 0.069265557993897}",{},16424
ESN,copy_task,0.0,,0.0,0.0,189801.49270444404,14.935293197631836,2.342467784881592,0.2265625,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'n_units': 316, 'spectral_radius': 0.13796035821909058, 'leak_rate': 0.6913169305725582}",{},13536
ESN,copy_task,0.0001,,0.034833333333333334,0.0001,324798.40223325446,18.48666000366211,2.569786787033081,0.53125,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'n_units': 473, 'spectral_radius': 0.7859097610035892, 'leak_rate': 0.9497884127452644}",{},27680
ESN,copy_task,0.0,,0.0,0.0,85764.86085253049,11.535542011260986,2.0451793670654297,-0.0390625,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'n_units': 109, 'spectral_radius': 0.025039701341104892, 'leak_rate': 0.08830412874019855}",{},2419
ESN,copy_task,0.0006,,0.09658571428571429,0.0006,316260.64778950386,18.55714225769043,2.601811408996582,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'n_units': 473, 'spectral_radius': 0.9412720650277244, 'leak_rate': 0.18594688212471389}",{},27680
ESN,copy_task,0.0,,0.0,0.0,70746.05789019352,10.988117218017578,1.97035551071167,6.74609375,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'n_units': 39, 'spectral_radius': 0.2778240662848602, 'leak_rate': 0.2912522732734405}",{},599
ESN,copy_task,0.0,,0.0,0.0,85791.66382023401,11.36022686958313,2.004497766494751,7.85546875,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'n_units': 102, 'spectral_radius': 0.5933693087151847, 'leak_rate': 0.7366043198027246}",{},2192
ESN,copy_task,0.0,,0.0,0.0,91095.67082525602,11.583393335342407,2.01717472076416,13.2265625,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'n_units': 121, 'spectral_radius': 0.09235213625423366, 'leak_rate': 0.8624442961673405}",{},2829
ESN,copy_task,0.0,,0.05471070246000638,0.0046,299722.78343836544,17.52938938140869,2.5450706481933594,9.26171875,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'n_units': 445, 'spectral_radius': 0.7591793816045767, 'leak_rate': 0.02102185903802889}",{},24796
ESN,copy_task,0.0,,0.0,0.0,77598.80179098106,11.194595575332642,1.9897794723510742,9.48828125,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'n_units': 71, 'spectral_radius': 0.6760670719056993, 'leak_rate': 0.2714321510792326}",{},1309
