Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
ESN,discrete_postcasting,0.005263157894736842,,0.017105263157894738,0.010526315789473684,151868.3157576582,1.1676478385925293,0.02590203285217285,149.48046875,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'n_units': 390, 'spectral_radius': 0.5305372145627818, 'leak_rate': 0.922111461767193}",{},28149
ESN,discrete_postcasting,0.0,,0.05524023331236241,0.3263157894736842,136669.53116647783,0.9639041423797607,0.025983572006225586,-2.47265625,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'n_units': 340, 'spectral_radius': 0.5027095407690281, 'leak_rate': 0.15362753737206158}",{},22844
ESN,discrete_postcasting,0.015789473684210527,,0.02414770155522966,0.031578947368421054,156077.70954055202,0.9362931251525879,0.026131868362426758,4.9453125,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'n_units': 397, 'spectral_radius': 0.3426109843415903, 'leak_rate': 0.6222310588397949}",{},28932
ESN,discrete_postcasting,0.005263157894736842,,0.007894736842105263,0.005263157894736842,106048.39041759037,0.8566107749938965,0.024503707885742188,-3.1796875,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'n_units': 307, 'spectral_radius': 0.9688640997540201, 'leak_rate': 0.6908937254227938}",{},19617
ESN,discrete_postcasting,0.0,,0.0,0.0,21556.348082433477,0.9688184261322021,0.019444942474365234,1.109375,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'n_units': 84, 'spectral_radius': 0.5771402440203418, 'leak_rate': 0.695270005904686}",{},3516
ESN,discrete_postcasting,0.0,,0.0,0.0,6407.3152550273235,1.126772403717041,0.018756866455078125,0.0234375,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'n_units': 21, 'spectral_radius': 0.7241478484039084, 'leak_rate': 0.3888674304090679}",{},769
ESN,discrete_postcasting,0.0,,0.0,0.0,67464.51163756214,1.4446253776550293,0.023555278778076172,2.56640625,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'n_units': 221, 'spectral_radius': 0.647196653894036, 'leak_rate': 0.6003922370976396}",{},12229
ESN,discrete_postcasting,0.010526315789473684,,0.03263157894736842,0.010526315789473684,168716.89860310918,1.3059637546539307,0.02615666389465332,2.19140625,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'n_units': 418, 'spectral_radius': 0.8338182342258864, 'leak_rate': 0.9147906602686022}",{},31338
ESN,discrete_postcasting,0.021052631578947368,,0.04466165413533835,0.031578947368421054,218115.67740445284,1.405479907989502,0.027759075164794922,-0.26171875,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'n_units': 493, 'spectral_radius': 0.6964824307014501, 'leak_rate': 0.8136786497018634}",{},40653
ESN,discrete_postcasting,0.0,,0.03819444333159318,0.5473684210526316,218618.4359639382,1.1856658458709717,0.02528071403503418,-0.07421875,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'n_units': 360, 'spectral_radius': 0.6485983083692556, 'leak_rate': 0.02910001420110575}",{},24906
