Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
ESN,selective_copy_task,0.0005,,0.1271875,0.0005,280526.8329280942,16.355313539505005,3.1413486003875732,30.0859375,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 494, 'spectral_radius': 0.9710683038044604, 'leak_rate': 0.34870576615209103}",{},29996
ESN,selective_copy_task,0.0,,0.0,0.0,100752.61642048458,11.497458219528198,2.633267879486084,-8.96484375,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 244, 'spectral_radius': 0.6022955338737019, 'leak_rate': 0.3988508219343341}",{},8721
ESN,selective_copy_task,0.0,,0.0,0.0,167348.41387136973,13.513168096542358,2.8456714153289795,-33.51171875,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 360, 'spectral_radius': 0.24996213541615797, 'leak_rate': 0.9818533201129135}",{},17038
ESN,selective_copy_task,0.00025,,0.0119375,0.00025,237482.13784049754,15.183280229568481,3.019320487976074,2.66015625,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 444, 'spectral_radius': 0.6551107580194416, 'leak_rate': 0.18783165001532898}",{},24741
ESN,selective_copy_task,0.0005,,0.0985,0.0005,146918.1982714092,12.770220756530762,2.794949769973755,32.27734375,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 324, 'spectral_radius': 0.4663437411868232, 'leak_rate': 0.40708935776546873}",{},14169
ESN,selective_copy_task,0.0,,0.0,0.0,30412.65603237885,9.351200819015503,2.3388938903808594,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 35, 'spectral_radius': 0.29657586446840456, 'leak_rate': 0.9843424029987569}",{},528
ESN,selective_copy_task,0.0,,0.0,0.0,31708.082885733937,9.350221157073975,2.3341238498687744,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 43, 'spectral_radius': 0.49487048360898545, 'leak_rate': 0.8876261551799133}",{},681
ESN,selective_copy_task,0.0,,0.019100000000000002,0.00025,226775.08841885213,14.927478075027466,3.0033998489379883,-39.14453125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 434, 'spectral_radius': 0.08692617291790261, 'leak_rate': 0.26090633135188723}",{},23750
ESN,selective_copy_task,0.0,,0.0,0.0,63410.53769048778,10.413893461227417,2.5306849479675293,35.0703125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 159, 'spectral_radius': 0.2014539906207975, 'leak_rate': 0.3586493104139058}",{},4335
ESN,selective_copy_task,0.0,,0.0,0.0,127778.90252794512,12.275606393814087,2.7094714641571045,-20.828125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 292, 'spectral_radius': 0.29204883066690057, 'leak_rate': 0.15123430069835353}",{},11835
ESN,selective_copy_task,0.0,,0.0,0.0,34756.763500739835,9.457803964614868,2.3468194007873535,4.71484375,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 60, 'spectral_radius': 0.11708046526936233, 'leak_rate': 0.6532672325700098}",{},1048
ESN,selective_copy_task,0.0,,0.0,0.0,109345.13824536104,12.028730869293213,2.6957504749298096,-25.9453125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 265, 'spectral_radius': 0.2358694181669968, 'leak_rate': 0.7128734239644791}",{},10026
ESN,selective_copy_task,0.0,,0.0,0.0,72792.63219068645,10.710923671722412,2.5453076362609863,-2.12109375,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 183, 'spectral_radius': 0.7005184005695405, 'leak_rate': 0.4936810198834629}",{},5427
ESN,selective_copy_task,0.00025,,0.0255,0.00025,233199.8960372177,15.215080738067627,3.0441575050354004,14.98828125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 441, 'spectral_radius': 0.8343193513832695, 'leak_rate': 0.7590536960456605}",{},24441
ESN,selective_copy_task,0.00025,,0.03625,0.00025,127109.13858045966,12.323525667190552,2.740112543106079,8.28125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 291, 'spectral_radius': 0.25778215845145114, 'leak_rate': 0.20840815181712435}",{},11766
ESN,selective_copy_task,0.0,,0.0,0.0,246419.12435435847,15.654621839523315,3.066678524017334,9.515625,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 462, 'spectral_radius': 0.04816264062607667, 'leak_rate': 0.9562642652614384}",{},26574
ESN,selective_copy_task,0.0,,0.0,0.0,136792.91356890363,12.641390085220337,2.7629733085632324,4.7734375,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 308, 'spectral_radius': 0.8480964184084641, 'leak_rate': 0.6163154468539378}",{},12977
ESN,selective_copy_task,0.00025,,0.09225,0.00025,202284.80819588056,14.364357709884644,2.9406473636627197,15.1953125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 406, 'spectral_radius': 0.1253506743835917, 'leak_rate': 0.49896900254773136}",{},21082
ESN,selective_copy_task,0.0,,0.0,0.0,95956.26557067479,11.321215391159058,2.5959742069244385,-10.18359375,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 234, 'spectral_radius': 0.30872633616415923, 'leak_rate': 0.30542742849741944}",{},8130
ESN,selective_copy_task,0.00025,,0.015375,0.00025,249909.9948203886,15.934269189834595,3.0756092071533203,-8.01171875,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 461, 'spectral_radius': 0.2690624465480057, 'leak_rate': 0.34572018366667223}",{},26471
ESN,selective_copy_task,0.0,,0.0,0.0,285396.38234842865,17.16234850883484,3.1734421253204346,-28.5,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 505, 'spectral_radius': 0.09349440548027466, 'leak_rate': 0.5569211296476501}",{},31218
ESN,selective_copy_task,0.0,,0.0,0.0,84509.73497035001,11.111231803894043,2.5775132179260254,19.79296875,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 212, 'spectral_radius': 0.27766088649452625, 'leak_rate': 0.5111039025595082}",{},6899
ESN,selective_copy_task,0.0,,0.0,0.0,55256.36489598499,10.802335500717163,2.497135639190674,1.67578125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 135, 'spectral_radius': 0.20600944116809639, 'leak_rate': 0.3413326340776327}",{},3358
ESN,selective_copy_task,0.0,,0.0,0.0,48814.26434353907,9.990937232971191,2.4325740337371826,-15.80078125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 115, 'spectral_radius': 0.6995997171587801, 'leak_rate': 0.5645891387525103}",{},2632
ESN,selective_copy_task,0.0,,0.0,0.0,130929.47565879821,12.55861759185791,2.731173276901245,21.3671875,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 301, 'spectral_radius': 0.3093573015863438, 'leak_rate': 0.5540045157564812}",{},12471
ESN,selective_copy_task,0.0,,0.0,0.0,172525.03509364923,13.538612365722656,2.8622143268585205,-12.71875,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 364, 'spectral_radius': 0.8239930974394577, 'leak_rate': 0.10356252530101706}",{},17373
ESN,selective_copy_task,0.0,,0.0,0.0,109001.99553813568,11.840349435806274,2.6490936279296875,-19.85546875,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 259, 'spectral_radius': 0.6889032686676159, 'leak_rate': 0.12756793021277169}",{},9645
ESN,selective_copy_task,0.0,,0.0,0.0,42736.243586772325,10.215393543243408,2.387439250946045,58.6484375,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 94, 'spectral_radius': 0.6036929195592424, 'leak_rate': 0.4950098446746275}",{},1956
ESN,selective_copy_task,0.00025,,0.051125,0.00025,106579.17318500634,12.133814096450806,2.655471086502075,2.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 255, 'spectral_radius': 0.24927589309422526, 'leak_rate': 0.34176387077102066}",{},9394
ESN,selective_copy_task,0.0,,0.0,0.0,34025.04263352825,9.484352111816406,2.360908269882202,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'n_units': 55, 'spectral_radius': 0.6062019942674347, 'leak_rate': 0.5226281669333829}",{},934
