Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
ESN,sorting_problem,0.0,,0.0,0.0,106783.59273909089,12.747063875198364,1.9144020080566406,27.22265625,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'n_units': 143, 'spectral_radius': 0.3304735687348117, 'leak_rate': 0.3111655839939853}",{},4371
ESN,sorting_problem,0.001,,0.13892904761904762,0.001,289626.6900699495,17.573400259017944,2.2990217208862305,-22.61328125,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'n_units': 415, 'spectral_radius': 0.10438654291522242, 'leak_rate': 0.26425724470575174}",{},23956
ESN,sorting_problem,0.0,,0.0,0.0,132499.53743383085,13.548059701919556,1.9823143482208252,-5.98828125,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'n_units': 199, 'spectral_radius': 0.8305548568893389, 'leak_rate': 0.28586979789277256}",{},7194
ESN,sorting_problem,0.0008,,0.1804380952380952,0.001,260025.70188960014,16.84318470954895,2.216303825378418,49.53515625,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'n_units': 382, 'spectral_radius': 0.3148906870734498, 'leak_rate': 0.441096856335605}",{},20790
ESN,sorting_problem,0.0007,,0.1526503787878788,0.001,326846.1392446804,18.513903856277466,2.370573043823242,-20.015625,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'n_units': 455, 'spectral_radius': 0.6086426108441673, 'leak_rate': 0.8296398620770136}",{},28084
ESN,sorting_problem,0.0008,,0.147475,0.0008,290573.20057077485,17.59419274330139,2.293996572494507,-22.87109375,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'n_units': 416, 'spectral_radius': 0.3468400687170824, 'leak_rate': 0.3459278837658889}",{},24056
ESN,sorting_problem,0.0001,,0.1031,0.0001,193110.670715612,15.085498809814453,2.1101512908935547,54.83203125,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'n_units': 297, 'spectral_radius': 0.7722715239488107, 'leak_rate': 0.26173722543775635}",{},13643
ESN,sorting_problem,0.0,,0.0,0.0,76312.90372174812,11.845054388046265,1.8080170154571533,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'n_units': 55, 'spectral_radius': 0.6476606220261321, 'leak_rate': 0.25074108517647076}",{},1204
ESN,sorting_problem,0.0,,0.0,0.0,67816.19551971905,11.533644914627075,1.7549712657928467,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'n_units': 16, 'spectral_radius': 0.13453068922397293, 'leak_rate': 0.7680559841481094}",{},296
ESN,sorting_problem,0.0,,0.0,0.0,86896.05847644889,12.03007459640503,1.820500373840332,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'n_units': 90, 'spectral_radius': 0.5699665165667077, 'leak_rate': 0.782761272965274}",{},2278
ESN,sorting_problem,0.0001,,0.049,0.0001,225011.1639967919,15.816295623779297,2.175635814666748,-37.828125,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'n_units': 339, 'spectral_radius': 0.6630449081356389, 'leak_rate': 0.7254403697897005}",{},16994
