Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
LSTM,bracket_matching,0.555,,0.308025,0.555,75916.0972793095,7.981254816055298,0.004834175109863281,433.08984375,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'hidden_size': 57, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",14194
LSTM,bracket_matching,0.555,,0.308025,0.555,7604995.446560387,65.08464860916138,0.11135697364807129,4.390625,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'hidden_size': 154, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1434819
LSTM,bracket_matching,0.555,,0.308025,0.555,1752469.1373615551,9.059491634368896,0.08376407623291016,0.046875,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'hidden_size': 86, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",330671
LSTM,bracket_matching,0.555,,0.308025,0.555,3025084.211016556,13.42044186592102,0.12448596954345703,0.01953125,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'hidden_size': 91, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",570844
LSTM,bracket_matching,0.555,,0.308025,0.555,7191276.334993483,77.53844714164734,0.10019755363464355,2.421875,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'hidden_size': 133, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1356734
LSTM,bracket_matching,0.555,,0.308025,0.555,367556.47194200417,14.913431167602539,0.016618013381958008,0.1484375,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'hidden_size': 129, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",69274
LSTM,bracket_matching,0.555,,0.308025,0.555,6162285.378405156,57.765578746795654,0.10931730270385742,0.3359375,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'hidden_size': 179, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1162964
LSTM,bracket_matching,0.555,,0.308025,0.555,1480484.961459682,12.265199899673462,0.1149289608001709,0.0,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'hidden_size': 99, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",278884
LSTM,bracket_matching,0.555,,0.308025,0.555,17192173.56171226,89.2625024318695,0.04145932197570801,0.921875,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'hidden_size': 206, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3244295
LSTM,bracket_matching,0.555,,0.308025,0.555,10840730.845484938,63.2262225151062,0.14416790008544922,3.265625,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'hidden_size': 184, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2045529
