Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
LSTM,chaotic_forecasting,,0.006377631995852245,,,7538922.805559253,11.670178651809692,0.009970903396606445,632.80859375,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 180, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1436943
LSTM,chaotic_forecasting,,0.00043076300402128203,,,5924740.973531302,5.672652959823608,0.005243778228759766,16.9140625,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 200, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1129403
LSTM,chaotic_forecasting,,0.0021900755679896463,,,13056684.376178324,11.12031364440918,0.010104656219482422,1.921875,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 203, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2488580
LSTM,chaotic_forecasting,,0.03986641773826133,,,46263.54644830873,0.5254833698272705,0.0012996196746826172,3.3515625,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 17, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",8894
LSTM,chaotic_forecasting,,0.005341004065380267,,,93419.66161928888,0.4217414855957031,0.0012865066528320312,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 29, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",17954
LSTM,chaotic_forecasting,,0.02099940636144936,,,627223.4296931247,1.1471726894378662,0.004700899124145508,0.2578125,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 44, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",119639
LSTM,chaotic_forecasting,,0.008465651682978186,,,2205680.975429056,1.629542589187622,0.007511138916015625,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 78, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",420501
LSTM,chaotic_forecasting,,0.0004823379423549521,,,594667.5027769553,0.43918776512145996,0.0014748573303222656,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 96, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",113571
LSTM,chaotic_forecasting,,0.003815611963169194,,,17930566.87231804,11.171053171157837,0.01023244857788086,6.109375,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 238, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3417445
LSTM,chaotic_forecasting,,0.007624328383442319,,,3262763.286350527,1.6685137748718262,0.0077898502349853516,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 95, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",621968
LSTM,chaotic_forecasting,,0.0030289031050744694,,,1857256.4437053879,1.152747631072998,0.004705667495727539,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 89, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",354134
LSTM,chaotic_forecasting,,0.04415320880373889,,,403248.49307161703,1.2308623790740967,0.005197048187255859,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 33, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",76926
LSTM,chaotic_forecasting,,0.06992279695675784,,,59215.01428751451,0.6545703411102295,0.001898050308227539,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 17, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",11342
LSTM,chaotic_forecasting,,0.0011581618666425839,,,331312.6422436756,0.4520235061645508,0.0016701221466064453,0.08203125,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 123, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",63348
LSTM,chaotic_forecasting,,0.0008611148173204067,,,14626836.382433474,8.438213348388672,0.007776021957397461,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 251, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2787860
LSTM,chaotic_forecasting,,0.0036865017487161763,,,168518.0886960136,0.26256847381591797,0.0005772113800048828,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 87, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",32280
LSTM,chaotic_forecasting,,0.0003222022980942561,,,1210916.7859169003,0.7916362285614014,0.003141641616821289,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 90, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",231033
LSTM,chaotic_forecasting,,9.277650536782367e-05,,,3194191.7604470635,2.949824333190918,0.0027959346771240234,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 224, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",609059
LSTM,chaotic_forecasting,,0.0002688079629080754,,,9316458.91281955,5.685572385787964,0.0052759647369384766,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 251, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1775828
LSTM,chaotic_forecasting,,0.004671489573957257,,,7627039.89450461,11.19389271736145,0.010042905807495117,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 155, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1453748
LSTM,chaotic_forecasting,,0.006228345536041835,,,106508.70697838078,0.3533005714416504,0.000774383544921875,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 40, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",20443
LSTM,chaotic_forecasting,,0.13431254227974754,,,123562.61670447484,1.1420588493347168,0.004284381866455078,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 17, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",23582
LSTM,chaotic_forecasting,,0.0008985830823315461,,,397691.750647863,1.6588282585144043,0.0014083385467529297,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 135, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",76008
