Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
LSTM,discrete_postcasting,0.0,,0.0446058095759984,0.35789473684210527,2031045.698017316,2.869065046310425,0.004148244857788086,45.7734375,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'hidden_size': 134, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",382466
LSTM,discrete_postcasting,0.0,,0.05307468039187661,0.46842105263157896,5288879.532675062,4.3039445877075195,0.007399559020996094,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'hidden_size': 186, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1002570
LSTM,discrete_postcasting,0.0,,0.01138052314497526,0.1,62830.57983881407,0.8656833171844482,0.30489134788513184,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'hidden_size': 10, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",9930
LSTM,discrete_postcasting,0.0,,0.01116445815554369,0.24736842105263157,5567283.136992883,2.4456348419189453,0.8693046569824219,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'hidden_size': 123, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1056108
LSTM,discrete_postcasting,0.0,,0.0621770371356987,0.42105263157894735,3919407.7845892906,5.31847071647644,0.0068705081939697266,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'hidden_size': 141, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",742536
LSTM,discrete_postcasting,0.0,,0.05677148871902215,0.4105263157894737,2436024.1918198,2.5766732692718506,0.008547544479370117,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'hidden_size': 189, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",460056
LSTM,discrete_postcasting,0.005263157894736842,,0.07968726303464145,0.3473684210526316,665217.2688329755,0.6156110763549805,0.22433018684387207,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'hidden_size': 51, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",124572
LSTM,discrete_postcasting,0.0,,0.05384930651379152,0.4052631578947368,1858538.1876909905,0.817685604095459,0.2924368381500244,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'hidden_size': 128, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",349982
LSTM,discrete_postcasting,0.0,,0.023338889062114225,0.3473684210526316,3891528.2598651317,2.6243841648101807,0.9094898700714111,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'hidden_size': 97, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",737424
LSTM,discrete_postcasting,0.0,,0.042901319985696434,0.4263157894736842,13591041.147484327,9.248708486557007,0.009000301361083984,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'hidden_size': 221, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2585288
LSTM,discrete_postcasting,0.005263157894736842,,0.04979532739998994,0.2,343067.92002805776,0.2805287837982178,0.1075754165649414,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'hidden_size': 108, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",63750
