Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
LSTM,mnist_classification,0.0,,0.0,0.0,313413.0508775997,8.420185327529907,0.006011962890625,318.20703125,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'hidden_size': 38, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",58302
LSTM,mnist_classification,0.0,,0.0,0.0,722986.3913597994,5.0130579471588135,0.00682520866394043,3.1875,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'hidden_size': 46, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",135710
LSTM,mnist_classification,0.0,,0.0,0.0,109484.60077250745,5.42119026184082,0.0007698535919189453,0.015625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'hidden_size': 15, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",20200
LSTM,mnist_classification,0.0,,0.0,0.0,179258.4090648943,5.011584281921387,0.0007221698760986328,0.03125,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'hidden_size': 22, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",33230
LSTM,mnist_classification,0.0,,0.0,0.0,31920.26906953068,4.324694395065308,0.0006234645843505859,0.24609375,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'hidden_size': 10, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",5270
LSTM,mnist_classification,0.0,,0.0,0.0,2192316.4850389874,5.6700239181518555,0.004891395568847656,0.05859375,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'hidden_size': 140, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",413010
LSTM,mnist_classification,0.0,,0.0,0.0,801096.4151778315,4.043992757797241,0.0034782886505126953,6.65234375,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'hidden_size': 178, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",150598
LSTM,mnist_classification,0.0,,0.0,0.0,59217.463879236544,5.193616151809692,0.0015730857849121094,0.06640625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'hidden_size': 11, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",10416
LSTM,mnist_classification,0.0,,0.0,0.0,921323.742326667,4.076624393463135,0.0054357051849365234,0.25390625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'hidden_size': 192, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",173194
LSTM,mnist_classification,0.0,,0.0,0.0,2067917.6979801157,5.012533903121948,0.002187490463256836,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'hidden_size': 79, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",389480
