Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
LSTM,sin_forecasting,,0.05097987923026377,,,7603237.218895316,11.259936809539795,0.012389898300170898,425.8828125,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 180, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1435141
LSTM,sin_forecasting,,0.044740176378867534,,,5972706.920687499,5.484233617782593,0.005372524261474609,10.4921875,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 200, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1127401
LSTM,sin_forecasting,,0.04263813734864755,,,13173889.449918631,10.616551637649536,0.009720325469970703,3.46875,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 203, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2486548
LSTM,sin_forecasting,,0.12021134117814794,,,45788.22328927831,0.35968780517578125,0.12080764770507812,3.546875,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 17, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",8722
LSTM,sin_forecasting,,0.04515156405084917,,,92959.33525627055,0.3170027732849121,0.031432151794433594,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 29, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",17662
LSTM,sin_forecasting,,0.05662715879173048,,,630969.2818261166,0.7157497406005859,0.336594820022583,0.2890625,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 44, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",119197
LSTM,sin_forecasting,,0.031990452931794526,,,2223116.00321686,1.13035249710083,0.49834609031677246,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 78, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",419719
LSTM,sin_forecasting,,0.04539900254038775,,,596019.7673006774,0.30286407470703125,0.0702211856842041,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 96, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",112609
LSTM,sin_forecasting,,0.09264395133266486,,,18093611.802432932,10.63603687286377,0.00987386703491211,6.125,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 238, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3415063
LSTM,sin_forecasting,,0.04883241054521494,,,3289735.985496984,1.1313834190368652,0.4950253963470459,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 95, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",621016
LSTM,sin_forecasting,,0.04364071520466167,,,1870961.8702482793,0.7876486778259277,0.3327174186706543,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 89, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",353242
LSTM,sin_forecasting,,0.5015556822616755,,,405681.3122441173,0.8017098903656006,0.3274528980255127,0.0546875,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 33, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",76594
LSTM,sin_forecasting,,0.07388905197596898,,,58661.16686264729,0.37577128410339355,0.1820061206817627,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 17, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",11170
LSTM,sin_forecasting,,0.04114421434737856,,,328472.1471483307,0.2817871570587158,0.1017000675201416,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 123, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",62116
LSTM,sin_forecasting,,0.04127131631557873,,,14757020.162771737,8.060694694519043,0.007603645324707031,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 251, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2785348
LSTM,sin_forecasting,,0.05799631134476453,,,165840.07667494827,0.28503894805908203,0.0005352497100830078,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 87, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",31408
LSTM,sin_forecasting,,0.03688520764721782,,,1218647.0849440508,0.5118918418884277,0.22443675994873047,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 90, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",230131
LSTM,sin_forecasting,,0.041753293760633026,,,3214473.8540289146,2.90356707572937,0.0027458667755126953,0.0234375,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 224, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",606817
LSTM,sin_forecasting,,0.03419402183191758,,,9394915.818287412,5.466693162918091,0.005038261413574219,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 251, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1773316
