Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
TransformerDecoderOnly,chaotic_forecasting,,250.71635028131155,,,30502.420639623862,0.026166439056396484,0.001024007797241211,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 4, 'num_layers': 1, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",5507
TransformerDecoderOnly,chaotic_forecasting,,210.2660967475473,,,559451.2368426613,0.07826900482177734,0.002931833267211914,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 8, 'num_layers': 5, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",105347
TransformerDecoderOnly,chaotic_forecasting,,234.990666445976,,,256664.03709773708,0.07819271087646484,0.0020608901977539062,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 2, 'num_layers': 5, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",48195
TransformerDecoderOnly,chaotic_forecasting,,209.08306191428332,,,893625.5813340753,0.11654853820800781,0.0027780532836914062,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 8, 'num_layers': 8, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",168419
TransformerDecoderOnly,chaotic_forecasting,,232.9945220357653,,,173330.39538599135,0.09041976928710938,0.0025300979614257812,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 4, 'num_layers': 6, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",32467
TransformerDecoderOnly,chaotic_forecasting,,230.27140858505186,,,93047.93938962341,0.040431976318359375,0.0013158321380615234,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 2, 'num_layers': 2, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",17315
TransformerDecoderOnly,chaotic_forecasting,,228.7258042807566,,,123564.90047581459,0.10195112228393555,0.0031621456146240234,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 4, 'num_layers': 7, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",23075
TransformerDecoderOnly,chaotic_forecasting,,198.24457896894603,,,358357.72167938296,0.04050326347351074,0.0012595653533935547,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 64, 'nhead': 2, 'num_layers': 2, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",67395
TransformerDecoderOnly,chaotic_forecasting,,200.61361561665998,,,358360.0975257754,0.04015183448791504,0.0012664794921875,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 64, 'nhead': 2, 'num_layers': 2, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",67395
TransformerDecoderOnly,chaotic_forecasting,,215.1070154296865,,,893631.2621444829,0.11484241485595703,0.002719879150390625,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 2, 'num_layers': 8, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",168419
TransformerDecoderOnly,chaotic_forecasting,,223.67858007719238,,,205705.55016399344,0.07674384117126465,0.0017712116241455078,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 8, 'num_layers': 4, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",38579
TransformerDecoderOnly,chaotic_forecasting,,262.04696971001334,,,19321.214669443372,0.02861166000366211,0.0009992122650146484,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 8, 'num_layers': 1, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3395
TransformerDecoderOnly,chaotic_forecasting,,227.96124036531685,,,307606.5828584632,0.0900716781616211,0.0022559165954589844,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 4, 'num_layers': 6, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",57811
TransformerDecoderOnly,chaotic_forecasting,,246.29969729548475,,,36687.300694665435,0.03991341590881348,0.0013589859008789062,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 2, 'num_layers': 2, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",6675
TransformerDecoderOnly,chaotic_forecasting,,225.5968322452205,,,138312.66113491112,0.05309796333312988,0.0015151500701904297,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 8, 'num_layers': 3, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",25859
TransformerDecoderOnly,chaotic_forecasting,,221.41262738883324,,,540981.036707535,0.11584305763244629,0.0028867721557617188,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 4, 'num_layers': 8, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",101859
TransformerDecoderOnly,chaotic_forecasting,,220.47647870555002,,,893636.1932177193,0.11508703231811523,0.0028076171875,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 8, 'num_layers': 8, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",168419
TransformerDecoderOnly,chaotic_forecasting,,194.8171344256225,,,1245080.6281109988,0.10284423828125,0.0033850669860839844,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 64, 'nhead': 2, 'num_layers': 7, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",234755
TransformerDecoderOnly,chaotic_forecasting,,225.87547486506523,,,54048.468611968485,0.053252220153808594,0.0015718936920166016,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 4, 'num_layers': 3, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",9955
TransformerDecoderOnly,chaotic_forecasting,,234.66165930738893,,,88813.06271209115,0.09169864654541016,0.0020422935485839844,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 8, 'num_layers': 5, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",16515
TransformerDecoderOnly,chaotic_forecasting,,234.79317217428002,,,88813.1747679155,0.07840394973754883,0.0020647048950195312,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 2, 'num_layers': 5, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",16515
TransformerDecoderOnly,chaotic_forecasting,,191.70687160709667,,,1062984.8380872025,0.06633877754211426,0.001798868179321289,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 64, 'nhead': 2, 'num_layers': 4, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",200387
TransformerDecoderOnly,chaotic_forecasting,,214.9169874825128,,,274109.4323484261,0.09031820297241211,0.002816915512084961,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 4, 'num_layers': 6, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",51491
TransformerDecoderOnly,chaotic_forecasting,,223.99354639171827,,,93042.41110765062,0.039708852767944336,0.001257181167602539,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 4, 'num_layers': 2, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",17315
TransformerDecoderOnly,chaotic_forecasting,,222.1490476087904,,,69812.93403301007,0.025814056396484375,0.0009999275207519531,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 8, 'num_layers': 1, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",12931
TransformerDecoderOnly,chaotic_forecasting,,201.52574331034467,,,404477.5591609907,0.05306720733642578,0.001646280288696289,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 64, 'nhead': 2, 'num_layers': 3, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",76099
TransformerDecoderOnly,chaotic_forecasting,,231.1771577627903,,,204440.5488404815,0.05332493782043457,0.0015265941619873047,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 8, 'num_layers': 3, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",38339
TransformerDecoderOnly,chaotic_forecasting,,251.55129050710534,,,36691.520260870806,0.03989267349243164,0.0014090538024902344,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 4, 'num_layers': 2, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",6675
TransformerDecoderOnly,chaotic_forecasting,,188.23271265154202,,,1062981.1803943147,0.06603503227233887,0.001880645751953125,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 64, 'nhead': 8, 'num_layers': 4, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",200387
TransformerDecoderOnly,chaotic_forecasting,,189.4990063687152,,,798151.4260948723,0.053095102310180664,0.0015745162963867188,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 64, 'nhead': 4, 'num_layers': 3, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",150403
TransformerDecoderOnly,chaotic_forecasting,,200.0340840528876,,,938885.5561486322,0.1028437614440918,0.0029098987579345703,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 64, 'nhead': 8, 'num_layers': 7, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",176963
TransformerDecoderOnly,chaotic_forecasting,,212.42975212672056,,,448061.46002826054,0.06631636619567871,0.0018815994262695312,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 8, 'num_layers': 4, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",84323
TransformerDecoderOnly,chaotic_forecasting,,222.89946430980604,,,93041.43182693548,0.03981900215148926,0.0016679763793945312,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 32, 'nhead': 8, 'num_layers': 2, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",17315
TransformerDecoderOnly,chaotic_forecasting,,197.01022697461437,,,538075.3975777414,0.0660257339477539,0.00182342529296875,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 64, 'nhead': 8, 'num_layers': 4, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",101315
TransformerDecoderOnly,chaotic_forecasting,,201.61357296715383,,,268501.6294116152,0.02626776695251465,0.0010423660278320312,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 64, 'nhead': 2, 'num_layers': 1, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",50435
TransformerDecoderOnly,chaotic_forecasting,,223.17355480482274,,,205705.09809007638,0.07664990425109863,0.0017960071563720703,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'d_model': 16, 'nhead': 8, 'num_layers': 4, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",38579
