Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
Transformers,adding_problem,0.0,,0.003209531895624611,0.09,561555.3420413915,63.86459827423096,3.749964475631714,678.17578125,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(16), 'nhead': np.int64(4), 'num_encoder_layers': 5, 'num_decoder_layers': 5, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",103495
Transformers,adding_problem,0.0,,0.006169784081122766,0.09,2705053.793549374,8.566362857818604,4.41857123374939,0.9765625,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(64), 'nhead': np.int64(4), 'num_encoder_layers': 6, 'num_decoder_layers': 6, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",509095
Transformers,adding_problem,0.0,,0.01073344055515972,0.21,354533.21843671805,5.051076173782349,2.0540311336517334,9.9296875,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 4, 'num_decoder_layers': 2, 'dim_feedforward': np.int64(64), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",63271
Transformers,adding_problem,0.0,,0.005743219673097346,0.08,492448.0934385807,3.2877306938171387,0.9819831848144531,7.01953125,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(64), 'nhead': np.int64(4), 'num_encoder_layers': 1, 'num_decoder_layers': 1, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",90535
Transformers,adding_problem,0.0,,0.010743673992944085,0.215,518240.79119124456,4.017879962921143,1.3673985004425049,0.0078125,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(32), 'nhead': np.int64(8), 'num_encoder_layers': 3, 'num_decoder_layers': 1, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",91815
Transformers,adding_problem,0.0,,0.003248216765436445,0.11,647959.7688242664,6.082759141921997,2.7432777881622314,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 5, 'num_decoder_layers': 3, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",117927
Transformers,adding_problem,0.0,,0.0038802782269277115,0.065,208402.60873897813,7.298424959182739,3.8485782146453857,0.00390625,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(16), 'nhead': np.int64(4), 'num_encoder_layers': 3, 'num_decoder_layers': 6, 'dim_feedforward': np.int64(64), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",37975
Transformers,adding_problem,0.0,,0.029667681245588683,0.24,518668.5754128224,7.991299152374268,4.516321897506714,0.2734375,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(16), 'nhead': np.int64(8), 'num_encoder_layers': 4, 'num_decoder_layers': 5, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",93879
Transformers,adding_problem,0.0,,0.0029249999999999996,0.095,397414.4347992956,3.676767587661743,1.1866607666015625,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 2, 'num_decoder_layers': 1, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",70791
Transformers,adding_problem,0.0,,0.006419974881357458,0.15,715026.1296225239,8.538130521774292,4.3360679149627686,6.125,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(16), 'nhead': np.int64(4), 'num_encoder_layers': 8, 'num_decoder_layers': 5, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",132343
Transformers,adding_problem,0.0,,0.031524286805831164,0.22,1076687.722597382,9.182622194290161,4.98652458190918,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(32), 'nhead': np.int64(4), 'num_encoder_layers': 6, 'num_decoder_layers': 7, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",198599
Transformers,adding_problem,0.0,,0.014096434250944517,0.16,3155731.309321876,9.640822410583496,5.197103023529053,0.10546875,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(64), 'nhead': np.int64(8), 'num_encoder_layers': 7, 'num_decoder_layers': 7, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",592807
Transformers,adding_problem,0.0,,0.05019853867035248,0.18,1474581.852550182,6.5228986740112305,3.0878477096557617,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(64), 'nhead': np.int64(2), 'num_encoder_layers': 4, 'num_decoder_layers': 4, 'dim_feedforward': np.int64(64), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",275623
Transformers,adding_problem,0.0,,0.00786572847682119,0.215,1168194.646372543,9.791576623916626,5.473685026168823,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': np.int64(32), 'nhead': np.int64(8), 'num_encoder_layers': 6, 'num_decoder_layers': 8, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",215591
