Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
Transformers,bracket_matching,0.555,,0.308025,0.555,739046.2613466224,61.75715899467468,4.900335788726807,695.9140625,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 3, 'num_decoder_layers': 3, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",139361
Transformers,bracket_matching,0.445,,0.198025,0.445,586163.6345566631,5.778126001358032,4.9564454555511475,2.34765625,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 6, 'num_decoder_layers': 2, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",110561
Transformers,bracket_matching,0.445,,0.198025,0.445,433022.61663392355,6.28579568862915,6.196700096130371,1.5859375,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(16), 'nhead': np.int64(2), 'num_encoder_layers': 4, 'num_decoder_layers': 4, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",81585
Transformers,bracket_matching,0.445,,0.198025,0.445,1917249.8672240907,7.864182472229004,8.969858884811401,3.34765625,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(64), 'nhead': np.int64(4), 'num_encoder_layers': 1, 'num_decoder_layers': 8, 'dim_feedforward': np.int64(64), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",361793
Transformers,bracket_matching,0.555,,0.308025,0.555,597266.9261081045,8.030418634414673,8.939492225646973,2.61328125,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(16), 'nhead': np.int64(4), 'num_encoder_layers': 5, 'num_decoder_layers': 6, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",112673
Transformers,bracket_matching,0.555,,0.308025,0.555,662663.1843461598,8.963119983673096,10.45694088935852,0.0,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(16), 'nhead': np.int64(4), 'num_encoder_layers': 4, 'num_decoder_layers': 8, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",124529
Transformers,bracket_matching,0.555,,0.308025,0.555,282286.3839669432,5.27123498916626,4.99792742729187,0.09765625,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(16), 'nhead': np.int64(2), 'num_encoder_layers': 1, 'num_decoder_layers': 4, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",52737
Transformers,bracket_matching,0.555,,0.308025,0.555,423264.01245605334,7.041500091552734,8.054447412490845,0.48828125,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(16), 'nhead': np.int64(8), 'num_encoder_layers': 6, 'num_decoder_layers': 2, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",79345
Transformers,bracket_matching,0.555,,0.308025,0.555,311956.9612196122,10.045887231826782,11.650608777999878,0.1484375,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(16), 'nhead': np.int64(4), 'num_encoder_layers': 7, 'num_decoder_layers': 8, 'dim_feedforward': np.int64(64), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",58337
Transformers,bracket_matching,0.445,,0.198025,0.445,316102.845833794,5.525110483169556,5.671023368835449,0.0,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(16), 'nhead': np.int64(8), 'num_encoder_layers': 5, 'num_decoder_layers': 1, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",58993
Transformers,bracket_matching,0.555,,0.308025,0.555,918593.1064198961,5.523100852966309,4.465451240539551,0.0,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 7, 'num_decoder_layers': 1, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",172833
Transformers,bracket_matching,0.555,,0.308025,0.555,605780.4490989001,8.294757843017578,9.402010202407837,0.0,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(16), 'nhead': np.int64(4), 'num_encoder_layers': 4, 'num_decoder_layers': 7, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",113793
Transformers,bracket_matching,0.555,,0.308025,0.555,644860.8379945584,8.039092779159546,8.900103569030762,0.0,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(16), 'nhead': np.int64(4), 'num_encoder_layers': 7, 'num_decoder_layers': 5, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",121169
Transformers,bracket_matching,0.555,,0.308025,0.555,158679.03226487036,6.53171443939209,6.935919523239136,0.0,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(16), 'nhead': np.int64(2), 'num_encoder_layers': 1, 'num_decoder_layers': 6, 'dim_feedforward': np.int64(64), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",29857
Transformers,bracket_matching,0.555,,0.308025,0.555,656813.8419734908,6.7524189949035645,6.835860013961792,0.0,"{'n_samples': 1000, 'sequence_length': 200, 'max_depth': 20}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 3, 'num_decoder_layers': 5, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",123425
