Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
Transformers,continue_postcasting,,0.21808665840927283,,,1437484.4512530868,0.29132986068725586,1.0112028121948242,0.0,"{'sequence_length': 1000, 'delay': 10}","{'d_model': np.int64(32), 'nhead': np.int64(4), 'num_encoder_layers': 7, 'num_decoder_layers': 5, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",274017
Transformers,continue_postcasting,,0.2633022227549393,,,1216893.380968581,0.21015286445617676,0.9104008674621582,0.0,"{'sequence_length': 1000, 'delay': 10}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 5, 'num_decoder_layers': 5, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",231969
Transformers,continue_postcasting,,0.30717657532044457,,,2627154.829640188,0.17911076545715332,0.7893640995025635,0.0,"{'sequence_length': 1000, 'delay': 10}","{'d_model': np.int64(64), 'nhead': np.int64(8), 'num_encoder_layers': 6, 'num_decoder_layers': 3, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",500737
Transformers,continue_postcasting,,0.20446284751391242,,,1456781.2436577475,0.18005895614624023,0.8119471073150635,0.0,"{'sequence_length': 1000, 'delay': 10}","{'d_model': np.int64(64), 'nhead': np.int64(2), 'num_encoder_layers': 1, 'num_decoder_layers': 6, 'dim_feedforward': np.int64(64), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",277697
Transformers,continue_postcasting,,0.20776278830953865,,,1069427.980588304,0.27085232734680176,1.1788725852966309,0.0,"{'sequence_length': 1000, 'delay': 10}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 8, 'num_decoder_layers': 6, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",203873
Transformers,continue_postcasting,,0.2180777091270422,,,798438.8876596232,0.2937166690826416,1.2737395763397217,0.0,"{'sequence_length': 1000, 'delay': 10}","{'d_model': np.int64(16), 'nhead': np.int64(2), 'num_encoder_layers': 8, 'num_decoder_layers': 7, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",152225
Transformers,continue_postcasting,,0.23245614550283508,,,606871.6762601909,0.2231459617614746,0.963367223739624,0.0,"{'sequence_length': 1000, 'delay': 10}","{'d_model': np.int64(32), 'nhead': np.int64(4), 'num_encoder_layers': 6, 'num_decoder_layers': 5, 'dim_feedforward': np.int64(64), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",115713
Transformers,continue_postcasting,,0.23121350571134586,,,1457476.224239632,0.17825984954833984,0.736583948135376,0.0,"{'sequence_length': 1000, 'delay': 10}","{'d_model': np.int64(64), 'nhead': np.int64(2), 'num_encoder_layers': 6, 'num_decoder_layers': 3, 'dim_feedforward': np.int64(64), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",277825
Transformers,continue_postcasting,,0.22340540203544118,,,157047.25103352073,0.06777501106262207,0.2462625503540039,0.0,"{'sequence_length': 1000, 'delay': 10}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 1, 'num_decoder_layers': 1, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",29985
Transformers,continue_postcasting,,0.2887041024394607,,,885970.5776490392,0.17216706275939941,0.752406120300293,0.0,"{'sequence_length': 1000, 'delay': 10}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 2, 'num_decoder_layers': 5, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",168897
Transformers,continue_postcasting,,0.22960401469623523,,,315386.649370722,0.1348884105682373,0.586766242980957,0.0,"{'sequence_length': 1000, 'delay': 10}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 1, 'num_decoder_layers': 4, 'dim_feedforward': np.int64(64), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",60161
