Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
Transformers,discrete_postcasting,0.0,,0.0138665953981227,0.3157894736842105,2244910.966057603,0.7356395721435547,0.688227653503418,4.1484375,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'d_model': np.int64(64), 'nhead': np.int64(8), 'num_encoder_layers': 3, 'num_decoder_layers': 4, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",423134
Transformers,discrete_postcasting,0.0,,0.009731748732551983,0.2,147829.3077719078,0.14783215522766113,0.6302587985992432,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'d_model': np.int64(16), 'nhead': np.int64(4), 'num_encoder_layers': 2, 'num_decoder_layers': 4, 'dim_feedforward': np.int64(64), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",25726
Transformers,discrete_postcasting,0.0,,0.018478835453245614,0.2736842105263158,780953.3979303992,0.20013880729675293,0.8471870422363281,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'d_model': np.int64(32), 'nhead': np.int64(2), 'num_encoder_layers': 6, 'num_decoder_layers': 4, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",147294
Transformers,discrete_postcasting,0.0,,0.006905310982093022,0.18947368421052632,2762182.6401125696,0.24788475036621094,1.0643177032470703,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'d_model': np.int64(64), 'nhead': np.int64(2), 'num_encoder_layers': 8, 'num_decoder_layers': 5, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",525150
Transformers,discrete_postcasting,0.0,,0.00506294035588825,0.11578947368421053,458910.348151127,0.2382526397705078,1.2125639915466309,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'d_model': np.int64(16), 'nhead': np.int64(8), 'num_encoder_layers': 2, 'num_decoder_layers': 6, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",85214
Transformers,discrete_postcasting,0.0,,0.00942902368703714,0.13157894736842105,458729.31535022374,0.19298124313354492,0.8524169921875,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'d_model': np.int64(16), 'nhead': np.int64(2), 'num_encoder_layers': 2, 'num_decoder_layers': 6, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",85214
Transformers,discrete_postcasting,0.0,,0.01102297004647541,0.24210526315789474,240109.5431809001,0.11283373832702637,0.46590375900268555,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'d_model': np.int64(16), 'nhead': np.int64(2), 'num_encoder_layers': 1, 'num_decoder_layers': 3, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",43390
Transformers,discrete_postcasting,0.0,,0.013107247456277928,0.3105263157894737,797185.202383624,0.20035171508789062,0.8474640846252441,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'d_model': np.int64(32), 'nhead': np.int64(4), 'num_encoder_layers': 6, 'num_decoder_layers': 4, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",147294
Transformers,discrete_postcasting,0.0,,0.006182919385886661,0.15789473684210525,123998.16762973707,0.06804800033569336,0.24074029922485352,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'d_model': np.int64(16), 'nhead': np.int64(2), 'num_encoder_layers': 1, 'num_decoder_layers': 1, 'dim_feedforward': np.int64(256), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",21918
Transformers,discrete_postcasting,0.0,,0.01296798850489579,0.30526315789473685,1379864.9881883892,0.13402676582336426,0.5034494400024414,0.0,"{'sequence_length': 1000, 'delay': 10, 'n_symbols': 30}","{'d_model': np.int64(64), 'nhead': np.int64(2), 'num_encoder_layers': 6, 'num_decoder_layers': 1, 'dim_feedforward': np.int64(128), 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",257246
