Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
ESN,adding_problem,0.0,,0.0,0.0,15992.288112854349,6.786442279815674,1.865152359008789,37.0625,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 52, 'spectral_radius': 0.00045761320681270146, 'leak_rate': 0.5243949378482765}",{},2456
ESN,adding_problem,0.02,,0.04833333333333333,0.025,194102.9299251617,10.23288869857788,2.393505811691284,41.9609375,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 426, 'spectral_radius': 0.43171203564424854, 'leak_rate': 0.06844369525297522}",{},35781
ESN,adding_problem,0.025,,0.060812500000000005,0.045,150102.0595265891,9.33780288696289,2.266465187072754,21.05078125,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 355, 'spectral_radius': 0.041185045814383314, 'leak_rate': 0.9263715619925696}",{},27303
ESN,adding_problem,0.015,,0.04973498964803312,0.045,250424.5994236417,11.491501092910767,2.5622103214263916,-33.22265625,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 504, 'spectral_radius': 0.9393044267575343, 'leak_rate': 0.39416739288156954}",{},46256
ESN,adding_problem,0.005,,0.0021875,0.005,210357.10220222754,10.550493001937866,2.4436991214752197,31.7421875,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 450, 'spectral_radius': 0.5236392555158104, 'leak_rate': 0.11990233306897291}",{},38874
ESN,adding_problem,0.0,,0.0,0.0,19882.894789983875,6.8660900592803955,1.8691380023956299,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 65, 'spectral_radius': 0.7976059897970895, 'leak_rate': 0.5584054220750047}",{},3145
ESN,adding_problem,0.015,,0.046396103896103894,0.025,193030.26490921195,10.222435235977173,2.4052209854125977,-14.8203125,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 424, 'spectral_radius': 0.7604944667359765, 'leak_rate': 0.3854150283468901}",{},35528
ESN,adding_problem,0.0,,0.0,0.0,15339.182238407664,6.8706254959106445,1.8555114269256592,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 50, 'spectral_radius': 0.12284022506941228, 'leak_rate': 0.8718818035800059}",{},2354
ESN,adding_problem,0.02,,0.062,0.025,134236.936867531,9.11172103881836,2.2521281242370605,6.671875,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 330, 'spectral_radius': 0.6821509544345921, 'leak_rate': 0.5942961340963956}",{},24558
ESN,adding_problem,0.005,,0.035,0.005,25272.551027609847,6.933358192443848,1.8607256412506104,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 83, 'spectral_radius': 0.22218135886341828, 'leak_rate': 0.8100098350582601}",{},4156
ESN,adding_problem,0.0,,0.0,0.0,74528.48924604713,7.94057559967041,2.0461790561676025,-8.81640625,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 212, 'spectral_radius': 0.5290430281274424, 'leak_rate': 0.716825437863892}",{},13288
ESN,adding_problem,0.005,,0.018333333333333333,0.005,67326.17537329,7.853609323501587,2.066964626312256,-9.21875,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 196, 'spectral_radius': 0.23051040782466625, 'leak_rate': 0.3489905189454773}",{},11976
ESN,adding_problem,0.0,,0.0,0.0,53485.50826253461,7.6041765213012695,1.9830677509307861,-20.7734375,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 162, 'spectral_radius': 0.8598664181381657, 'leak_rate': 0.4537944978671452}",{},9353
ESN,adding_problem,0.01,,0.06746753246753247,0.025,210206.70006765227,10.582530975341797,2.489253282546997,-11.88671875,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 449, 'spectral_radius': 0.3548526106697447, 'leak_rate': 0.10999247291836567}",{},38743
ESN,adding_problem,0.0,,0.0,0.0,37835.590385363685,7.2004311084747314,1.9128260612487793,52.0390625,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 121, 'spectral_radius': 0.10325602409112433, 'leak_rate': 0.519488997486191}",{},6500
ESN,adding_problem,0.005,,0.0275,0.005,45964.19493985205,7.494188070297241,1.980625867843628,-49.96875,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 143, 'spectral_radius': 0.7669308165071654, 'leak_rate': 0.283369434645516}",{},7990
ESN,adding_problem,0.025,,0.062,0.03,198198.3035675653,10.2490975856781,2.4144225120544434,52.46484375,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 431, 'spectral_radius': 0.4435298495578406, 'leak_rate': 0.5711430877352239}",{},36415
ESN,adding_problem,0.0,,0.0,0.0,49380.374205821645,7.547090768814087,1.9958813190460205,-45.015625,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'n_units': 152, 'spectral_radius': 0.5254001590624159, 'leak_rate': 0.5941182316413549}",{},8626
