Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
ESN,continue_pattern_completion,,0.016092125684676502,,,-76745.44663485399,15.175004243850708,1.7584617137908936,0.0078125,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 71, 'spectral_radius': 0.6357044673996234, 'leak_rate': 0.9605312503952776}",{},590
ESN,continue_pattern_completion,,0.015108998519002966,,,-35054.81251356027,17.08532190322876,1.9206054210662842,6.953125,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 216, 'spectral_radius': 0.6791521675150227, 'leak_rate': 0.7590927447627841}",{},4927
ESN,continue_pattern_completion,,0.015802114603569263,,,-44160.269501425384,16.609729766845703,1.9142115116119385,-14.90625,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 192, 'spectral_radius': 0.38458745916449577, 'leak_rate': 0.7118570504865278}",{},3917
ESN,continue_pattern_completion,,0.023117615196993735,,,43874.97536908726,19.766127109527588,2.0914924144744873,27.75,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 341, 'spectral_radius': 0.23999466289222504, 'leak_rate': 0.5903575861215882}",{},12038
ESN,continue_pattern_completion,,0.03295280769076864,,,-47456.252360041326,15.924487352371216,1.8592379093170166,3.6875,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 139, 'spectral_radius': 0.058139001688440994, 'leak_rate': 0.14300904365243738}",{},2100
ESN,continue_pattern_completion,,0.015166787646784951,,,-28174.766180343388,17.35657262802124,1.9418060779571533,-7.47265625,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 231, 'spectral_radius': 0.6955545738414394, 'leak_rate': 0.6347725570460582}",{},5614
ESN,continue_pattern_completion,,0.0904646393552309,,,151568.67399675347,22.523817777633667,2.237399101257324,2.34765625,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 443, 'spectral_radius': 0.7626230843792796, 'leak_rate': 0.12959851416686896}",{},20157
ESN,continue_pattern_completion,,0.014966727632623151,,,-26538.865259197773,17.415178775787354,1.956773281097412,0.41796875,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 235, 'spectral_radius': 0.7946646309210623, 'leak_rate': 0.7444553597678334}",{},5806
ESN,continue_pattern_completion,,0.015588354111052206,,,66605.23968506433,21.05490207672119,2.1527559757232666,-36.7265625,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 383, 'spectral_radius': 0.6204193454311019, 'leak_rate': 0.6909275482943034}",{},15129
ESN,continue_pattern_completion,,0.2032091450500755,,,-28790.406553617624,14.960503578186035,1.7644805908203125,18.73828125,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 50, 'spectral_radius': 0.890231077645051, 'leak_rate': 0.05268180891577645}",{},311
ESN,continue_pattern_completion,,0.015458088572862693,,,-70765.5109787053,15.45275092124939,1.8067011833190918,3.08984375,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 107, 'spectral_radius': 0.7072146658532692, 'leak_rate': 0.5086929400624047}",{},1275
ESN,continue_pattern_completion,,2.477061613262685,,,30550.53039022966,15.492459058761597,1.7949419021606445,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 106, 'spectral_radius': 0.47062710530081553, 'leak_rate': 0.014357818293955549}",{},1253
ESN,continue_pattern_completion,,0.023099558303806552,,,131445.79141836872,22.77581524848938,2.255000352859497,19.8203125,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 451, 'spectral_radius': 0.30019881345994404, 'leak_rate': 0.32788640507083}",{},20882
ESN,continue_pattern_completion,,0.016926918546835916,,,-67345.69060326066,15.698976039886475,1.7978699207305908,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'base_length': 10, 'mask_ratio': 0.2}","{'n_units': 114, 'spectral_radius': 0.08224481871076295, 'leak_rate': 0.4732627445048545}",{},1437
