Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
ESN,discrete_pattern_completion,0.79995,,0.9999367647058823,0.8,354292.08400592586,27.065130472183228,2.397538661956787,51.296875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 510, 'spectral_radius': 0.10953221574169225, 'leak_rate': 0.7323008218507513}",{},32856
ESN,discrete_pattern_completion,0.8,,1.0,0.8,108636.92581344735,17.337854385375977,1.9432661533355713,17.40625,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 225, 'spectral_radius': 0.43386368291229593, 'leak_rate': 0.9123344652040494}",{},8088
ESN,discrete_pattern_completion,0.23765,,0.7816479245315435,0.2464,209606.68751159695,18.358285427093506,2.005969762802124,-42.78125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 259, 'spectral_radius': 0.1677271639159822, 'leak_rate': 0.06647263993844144}",{},10191
ESN,discrete_pattern_completion,0.79335,,0.9797411117778414,0.80015,355832.50030698144,25.215578317642212,2.3230600357055664,3.37109375,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 473, 'spectral_radius': 0.4864008259100506, 'leak_rate': 0.1311130590020837}",{},28723
ESN,discrete_pattern_completion,0.8,,1.0,0.8,56127.29140726385,15.29735541343689,1.8001058101654053,29.08984375,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 103, 'spectral_radius': 0.2228157992470191, 'leak_rate': 0.5518937123192206}",{},2453
ESN,discrete_pattern_completion,0.2879,,0.819922940873852,0.3,173268.92016071925,17.199691772460938,1.9413893222808838,-0.4296875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 206, 'spectral_radius': 0.4066880659416805, 'leak_rate': 0.06604356880681495}",{},7017
ESN,discrete_pattern_completion,0.8,,1.0,0.8,85173.9101129794,16.64520573616028,1.918306827545166,-15.21484375,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 181, 'spectral_radius': 0.455269852032537, 'leak_rate': 0.9765029019296253}",{},5713
ESN,discrete_pattern_completion,0.0013,,0.4026367763489432,0.0054,215544.7517978813,17.407612562179565,1.9576091766357422,26.99609375,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 225, 'spectral_radius': 0.35973396584502937, 'leak_rate': 0.010150397865541394}",{},8088
ESN,discrete_pattern_completion,0.8,,1.0,0.8,186882.1377313434,20.27358388900757,2.118332624435425,-48.65625,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 337, 'spectral_radius': 0.8625132942391599, 'leak_rate': 0.5531941577104922}",{},15885
ESN,discrete_pattern_completion,0.79985,,0.9996894380689444,0.79995,233232.3637571794,20.96540093421936,2.1566755771636963,4.4296875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 360, 'spectral_radius': 0.7611409209413627, 'leak_rate': 0.19407592561692788}",{},17796
ESN,discrete_pattern_completion,0.8,,1.0,0.8,38398.98077069734,14.639158010482788,1.7361879348754883,24.8046875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 44, 'spectral_radius': 0.02295214373050969, 'leak_rate': 0.7298064854521058}",{},795
ESN,discrete_pattern_completion,0.79975,,0.9992520134080818,0.79995,308821.04641372006,24.86553430557251,2.3112828731536865,-22.78125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 466, 'spectral_radius': 0.07568019931089831, 'leak_rate': 0.48946492533432073}",{},27973
ESN,discrete_pattern_completion,0.79985,,0.9995631382936486,0.7999,243331.36287273487,21.4697163105011,2.1538965702056885,13.98046875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 385, 'spectral_radius': 0.5605829348494229, 'leak_rate': 0.25043507928257347}",{},19992
ESN,discrete_pattern_completion,0.8,,1.0,0.8,77717.39164737768,16.255961656570435,1.8683350086212158,-6.078125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 166, 'spectral_radius': 0.07960514540679087, 'leak_rate': 0.7853290408365061}",{},4993
ESN,discrete_pattern_completion,0.8,,1.0,0.8,92324.79178694196,16.964435815811157,1.9238648414611816,17.83984375,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 195, 'spectral_radius': 0.047685341321627606, 'leak_rate': 0.7123424931698171}",{},6428
ESN,discrete_pattern_completion,0.6055,,0.911051101732437,0.62145,62358.69912699787,14.350807905197144,1.7149348258972168,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 16, 'spectral_radius': 0.4688271205962812, 'leak_rate': 0.9897588494710096}",{},253
ESN,discrete_pattern_completion,0.8,,1.0,0.8,72386.26530131347,16.16063380241394,1.8895142078399658,-25.5859375,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 153, 'spectral_radius': 0.5151371266833566, 'leak_rate': 0.9662041632548685}",{},4403
ESN,discrete_pattern_completion,0.7897,,0.9714450598588117,0.8005,248175.63337315468,20.543303728103638,2.1205170154571533,-1.13671875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 359, 'spectral_radius': 0.13735445697590787, 'leak_rate': 0.15755431433703415}",{},17711
ESN,discrete_pattern_completion,0.8,,1.0,0.8,127127.50360684407,17.759888410568237,1.9561960697174072,-5.47265625,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 243, 'spectral_radius': 0.9033218845428106, 'leak_rate': 0.3561272267712775}",{},9173
ESN,discrete_pattern_completion,0.8,,1.0,0.8,175247.62102886906,19.583271980285645,2.0838913917541504,47.58203125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 323, 'spectral_radius': 0.6765155218204625, 'leak_rate': 0.8873300169198989}",{},14773
ESN,discrete_pattern_completion,0.8,,1.0,0.8,308722.6611144489,24.654022216796875,2.317643642425537,-38.5390625,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 468, 'spectral_radius': 0.628606878696762, 'leak_rate': 0.5264443542722348}",{},28185
ESN,discrete_pattern_completion,0.79955,,0.9988759579207803,0.79995,74918.53441608766,14.814857721328735,1.7587175369262695,10.046875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 67, 'spectral_radius': 0.44269228195586563, 'leak_rate': 0.26225965799391615}",{},1359
ESN,discrete_pattern_completion,0.8,,1.0,0.8,73122.18654951738,16.047043800354004,1.914785385131836,-10.8046875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 153, 'spectral_radius': 0.7869375894040156, 'leak_rate': 0.8505584112111468}",{},4403
ESN,discrete_pattern_completion,0.8,,1.0,0.8,287197.4589617923,23.855462312698364,2.2758400440216064,-7.546875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 448, 'spectral_radius': 0.4300126966311274, 'leak_rate': 0.779804788738027}",{},26085
ESN,discrete_pattern_completion,0.79995,,0.9999373522458629,0.8,355943.35221074993,25.94577407836914,2.3932363986968994,31.52734375,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 505, 'spectral_radius': 0.8322062370988598, 'leak_rate': 0.3028476192610655}",{},32280
ESN,discrete_pattern_completion,0.8,,1.0,0.8,58021.49736715235,15.297262191772461,1.7797672748565674,12.94921875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 108, 'spectral_radius': 0.440752259477444, 'leak_rate': 0.5231960524460441}",{},2625
ESN,discrete_pattern_completion,0.8,,1.0,0.8,114544.22033796748,17.612762689590454,1.9396946430206299,-43.85546875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 233, 'spectral_radius': 0.8344715089140918, 'leak_rate': 0.9639301127681962}",{},8563
ESN,discrete_pattern_completion,0.14185,,0.7939281220116916,0.14335,118209.988781632,14.4589684009552,1.7203772068023682,18.29296875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 21, 'spectral_radius': 0.7318733023242794, 'leak_rate': 0.13424120899616487}",{},337
ESN,discrete_pattern_completion,0.8,,1.0,0.8,72883.18580275276,16.201212406158447,1.8814361095428467,-8.91796875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 155, 'spectral_radius': 0.35091827484336846, 'leak_rate': 0.8088636502747805}",{},4492
ESN,discrete_pattern_completion,0.8,,1.0,0.8,153425.41761324918,18.990264654159546,2.042839765548706,21.71875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 294, 'spectral_radius': 0.3731941370347355, 'leak_rate': 0.7003488011386145}",{},12595
ESN,discrete_pattern_completion,0.8,,1.0,0.8,102510.88344988048,17.124738931655884,1.9507594108581543,14.8203125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 214, 'spectral_radius': 0.508394604195422, 'leak_rate': 0.9390368460223942}",{},7459
ESN,discrete_pattern_completion,0.43915,,0.8760105425577345,0.4593,119664.4839761173,15.24127459526062,1.7913486957550049,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 102, 'spectral_radius': 0.6631234057405332, 'leak_rate': 0.08520613518248232}",{},2419
ESN,discrete_pattern_completion,0.8,,1.0,0.8,195934.81868206835,20.340392589569092,2.112091302871704,-44.79296875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 346, 'spectral_radius': 0.8893341605357744, 'leak_rate': 0.4315382375185579}",{},16621
ESN,discrete_pattern_completion,0.8,,1.0,0.8,145524.19539586164,18.871713399887085,2.0417585372924805,24.00390625,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'n_units': 283, 'spectral_radius': 0.39943848343616684, 'leak_rate': 0.848959003637746}",{},11813
