Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
ESN,mnist_classification,0.055,,0.2348015873015873,0.07,4932.7269967204575,2.0929510593414307,0.5433914661407471,3.9921875,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 38, 'spectral_radius': 0.16038037393745608, 'leak_rate': 0.6600452749417396}",{},648
ESN,mnist_classification,0.6,,0.7298916731166151,0.7,58651.550381919915,3.0437896251678467,0.6197531223297119,17.1875,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 271, 'spectral_radius': 0.7136553107122361, 'leak_rate': 0.21494061824060018}",{},10877
ESN,mnist_classification,0.275,,0.6455757575757576,0.275,2727.5381400784504,2.0689809322357178,0.5332067012786865,0.00390625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 22, 'spectral_radius': 0.8185503178788403, 'leak_rate': 0.12724640194907155}",{},344
ESN,mnist_classification,0.095,,0.2193385025062657,0.195,77730.3287239125,3.214754343032837,0.6368849277496338,0.0078125,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 314, 'spectral_radius': 0.22768757903654357, 'leak_rate': 0.9644315723322001}",{},13952
ESN,mnist_classification,0.27,,0.4135610438952158,0.605,151078.60325737795,4.381469011306763,0.7084813117980957,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 466, 'spectral_radius': 0.08856857004554342, 'leak_rate': 0.378531203123325}",{},27784
ESN,mnist_classification,0.335,,0.5116559013956459,0.46,46482.64553084941,3.3030202388763428,0.5974879264831543,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 232, 'spectral_radius': 0.9425474562130155, 'leak_rate': 0.7392471126865322}",{},8408
ESN,mnist_classification,0.21,,0.2588421222199527,0.46,120617.65517350819,4.160268545150757,0.6761784553527832,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 402, 'spectral_radius': 0.634754739733155, 'leak_rate': 0.8993916035346977}",{},21396
ESN,mnist_classification,0.62,,0.8577835712046239,0.66,18277.417289697885,2.5299859046936035,0.57193922996521,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 128, 'spectral_radius': 0.7622484412665775, 'leak_rate': 0.13053428288482372}",{},3312
ESN,mnist_classification,0.185,,0.4139473684210526,0.305,29831.247848560564,2.6498329639434814,0.5852620601654053,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 172, 'spectral_radius': 0.006983889561916312, 'leak_rate': 0.5600317933322709}",{},5204
ESN,mnist_classification,0.64,,0.8039226190476191,0.73,61193.901797518374,3.101999521255493,0.6250138282775879,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 279, 'spectral_radius': 0.4223261460330019, 'leak_rate': 0.0972169060314757}",{},11421
ESN,mnist_classification,0.11,,0.266237552213868,0.235,55219.769453149835,2.986091136932373,0.6159605979919434,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 254, 'spectral_radius': 0.3570929661873883, 'leak_rate': 0.9220210042931661}",{},9764
ESN,mnist_classification,0.58,,0.727257145476355,0.735,61730.00809789915,3.0392558574676514,0.6263511180877686,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 280, 'spectral_radius': 0.4499563910576877, 'leak_rate': 0.24195696441176628}",{},11490
ESN,mnist_classification,0.415,,0.5798291562238931,0.58,47938.34920500556,2.8403093814849854,0.6053643226623535,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 238, 'spectral_radius': 0.0428458102577165, 'leak_rate': 0.35837929418431225}",{},8768
ESN,mnist_classification,0.175,,0.5546130952380952,0.185,5116.943506573652,2.153416395187378,0.5422818660736084,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 43, 'spectral_radius': 0.8991566093303688, 'leak_rate': 0.5622647068681423}",{},754
ESN,mnist_classification,0.175,,0.5858403361344537,0.185,2799.9843725266455,2.113206386566162,0.5399935245513916,0.00390625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 22, 'spectral_radius': 0.649807463965848, 'leak_rate': 0.26970439643500366}",{},344
ESN,mnist_classification,0.635,,0.7621935043156017,0.705,53892.053885165,2.910886287689209,0.6154444217681885,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 258, 'spectral_radius': 0.9705119732005435, 'leak_rate': 0.21020298297510343}",{},10020
ESN,mnist_classification,0.35,,0.4671255160848983,0.605,108630.75330031232,3.65089750289917,0.6741645336151123,-1.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 387, 'spectral_radius': 0.20863222425555328, 'leak_rate': 0.3628188469240966}",{},20018
ESN,mnist_classification,0.33,,0.43943137333265253,0.65,122001.10813036785,3.8762834072113037,0.6893784999847412,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 414, 'spectral_radius': 0.13622762450214487, 'leak_rate': 0.36106507986397407}",{},22532
ESN,mnist_classification,0.375,,0.5975040639328565,0.485,28805.326713982446,2.5307910442352295,0.5915482044219971,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 172, 'spectral_radius': 0.08931826877531168, 'leak_rate': 0.3655268524347076}",{},5204
ESN,mnist_classification,0.215,,0.2689980705576765,0.435,139567.2710335986,4.001491546630859,0.7003247737884521,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 439, 'spectral_radius': 0.40833504986778113, 'leak_rate': 0.7672376782015553}",{},24989
ESN,mnist_classification,0.565,,0.6765066643882434,0.76,119940.57629715164,3.8148458003997803,0.685746431350708,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 413, 'spectral_radius': 0.5359496285578212, 'leak_rate': 0.04914615798144495}",{},22436
ESN,mnist_classification,0.33,,0.6449651211361737,0.38,16302.799222157806,2.3182904720306396,0.5526988506317139,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 115, 'spectral_radius': 0.5742870019604338, 'leak_rate': 0.5017001675804149}",{},2828
ESN,mnist_classification,0.07,,0.16922549019607844,0.125,49742.244797352054,2.782545566558838,0.6110701560974121,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 238, 'spectral_radius': 0.22863508473291827, 'leak_rate': 0.9914940991540067}",{},8768
ESN,mnist_classification,0.5,,0.6493548761609906,0.655,57745.59709288023,2.954573631286621,0.6249704360961914,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 268, 'spectral_radius': 0.6428200848043951, 'leak_rate': 0.32604619457775874}",{},10676
ESN,mnist_classification,0.465,,0.8173112535612536,0.485,6204.75907647472,2.1544721126556396,0.5496447086334229,-1.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 55, 'spectral_radius': 0.20330463240277108, 'leak_rate': 0.16275874172985605}",{},1028
ESN,mnist_classification,0.235,,0.37289208649967165,0.355,41364.03612685599,2.6737189292907715,0.598783016204834,0.00390625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 213, 'spectral_radius': 0.7540863629738378, 'leak_rate': 0.7788719328250204}",{},7316
ESN,mnist_classification,0.355,,0.8139082167832169,0.385,7369.7087603046475,2.1930744647979736,0.553091287612915,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 63, 'spectral_radius': 0.15663268371718397, 'leak_rate': 0.20907857932938878}",{},1226
ESN,mnist_classification,0.6,,0.7247747956660671,0.74,114837.04828123921,3.78304386138916,0.6795010566711426,0.00390625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 403, 'spectral_radius': 0.8606196144612693, 'leak_rate': 0.09588504809033638}",{},21490
ESN,mnist_classification,0.175,,0.23469352031764143,0.37,163503.22511222438,4.385537385940552,0.7167627811431885,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 481, 'spectral_radius': 0.3293779749501241, 'leak_rate': 0.8244327198484611}",{},29399
ESN,mnist_classification,0.555,,0.6746944275964989,0.77,111481.48924733988,3.7188034057617188,0.6819460391998291,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 396, 'spectral_radius': 0.5727387117802957, 'leak_rate': 0.22820307510678806}",{},20840
ESN,mnist_classification,0.225,,0.6431783625730995,0.245,8482.84447754837,2.1721699237823486,0.5481839179992676,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 68, 'spectral_radius': 0.2927736128641064, 'leak_rate': 0.46164548886834667}",{},1356
ESN,mnist_classification,0.12,,0.23092424385936972,0.26,66216.77896656342,3.022571563720703,0.626166582107544,0.03515625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 281, 'spectral_radius': 0.1635425471051115, 'leak_rate': 0.691476997192272}",{},11559
ESN,mnist_classification,0.135,,0.2889456453634085,0.26,43254.30302615992,2.7122910022735596,0.60288405418396,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 217, 'spectral_radius': 0.17616736643361508, 'leak_rate': 0.658449146909603}",{},7540
ESN,mnist_classification,0.17,,0.5075833333333333,0.18,2250.4802086293043,2.087869882583618,0.5388028621673584,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 16, 'spectral_radius': 0.6750087591369331, 'leak_rate': 0.2733195506544629}",{},244
ESN,mnist_classification,0.44,,0.5675855786549081,0.62,90315.00449913855,3.4056897163391113,0.6566674709320068,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 349, 'spectral_radius': 0.3465888548820696, 'leak_rate': 0.30498011585660423}",{},16727
ESN,mnist_classification,0.23,,0.33576455220447565,0.405,70190.40402916512,3.0628347396850586,0.6337919235229492,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 293, 'spectral_radius': 0.26937497517868725, 'leak_rate': 0.5871256361487267}",{},12404
ESN,mnist_classification,0.395,,0.5152393152705492,0.57,77148.2360180502,3.1951894760131836,0.6394402980804443,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 317, 'spectral_radius': 0.43078174625328547, 'leak_rate': 0.3850749992053881}",{},14180
ESN,mnist_classification,0.33,,0.7694451754385965,0.36,7699.764594365708,2.142643690109253,0.5423736572265625,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 64, 'spectral_radius': 0.5487169116625665, 'leak_rate': 0.40298562506417146}",{},1252
ESN,mnist_classification,0.185,,0.3701009310606833,0.38,51223.00773540348,2.8219845294952393,0.6100747585296631,0.015625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 242, 'spectral_radius': 0.38938018235333804, 'leak_rate': 0.7450315484153855}",{},9012
ESN,mnist_classification,0.51,,0.8603518356643357,0.54,15329.348574328324,2.3187296390533447,0.5633466243743896,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 112, 'spectral_radius': 0.40091333110072847, 'leak_rate': 0.03543501046918107}",{},2720
ESN,mnist_classification,0.235,,0.26830349843096146,0.505,150115.00324376026,4.188356161117554,0.7092680931091309,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 457, 'spectral_radius': 0.3837647016486109, 'leak_rate': 0.6020357501842761}",{},26836
ESN,mnist_classification,0.255,,0.3064859512738394,0.59,157057.76352373706,4.331374168395996,0.7163100242614746,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 472, 'spectral_radius': 0.21183856833810355, 'leak_rate': 0.5055575579778347}",{},28424
ESN,mnist_classification,0.445,,0.5258738567020318,0.585,64682.804439555664,3.041121244430542,0.629309892654419,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 285, 'spectral_radius': 0.7526590873003162, 'leak_rate': 0.5149365898138187}",{},11836
ESN,mnist_classification,0.285,,0.4324056752885681,0.605,93907.02259168185,3.4345831871032715,0.658531665802002,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 357, 'spectral_radius': 0.8329792523842954, 'leak_rate': 0.01713970918987584}",{},17396
ESN,mnist_classification,0.175,,0.3491162464985994,0.26,21596.158631439837,2.3929901123046875,0.5793254375457764,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 136, 'spectral_radius': 0.5165135916638953, 'leak_rate': 0.7109315723925901}",{},3628
ESN,mnist_classification,0.19,,0.3438211726998492,0.29,33883.094822370724,2.5810353755950928,0.5919015407562256,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 187, 'spectral_radius': 0.7627522537417056, 'leak_rate': 0.9669858507505491}",{},5938
ESN,mnist_classification,0.1,,0.25645454545454544,0.185,22528.7652956937,2.411097764968872,0.5714919567108154,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 141, 'spectral_radius': 0.4321395416250917, 'leak_rate': 0.8393756144040483}",{},3831
ESN,mnist_classification,0.035,,0.3542857142857143,0.045,3882.269755177308,2.101187229156494,0.5310742855072021,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 29, 'spectral_radius': 0.6713954996021548, 'leak_rate': 0.9577787717040384}",{},471
ESN,mnist_classification,0.535,,0.7280683621933622,0.63,31719.973320683523,2.5575473308563232,0.5878164768218994,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 184, 'spectral_radius': 0.5528756863828066, 'leak_rate': 0.33065989097798265}",{},5788
ESN,mnist_classification,0.19,,0.2586061245073449,0.365,146026.86478598425,4.142656564712524,0.7008812427520752,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 452, 'spectral_radius': 0.280031924835634, 'leak_rate': 0.799971698855315}",{},26316
ESN,mnist_classification,0.315,,0.39682274288292596,0.565,95819.71199926066,3.4466216564178467,0.6623971462249756,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 357, 'spectral_radius': 0.3762556581643195, 'leak_rate': 0.4838214720973908}",{},17396
ESN,mnist_classification,0.085,,0.23358912655971484,0.195,71694.11321474017,3.080554485321045,0.6322386264801025,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 299, 'spectral_radius': 0.08114963128672104, 'leak_rate': 0.84087002810731}",{},12837
ESN,mnist_classification,0.66,,0.7939421011994541,0.715,59750.77738026717,2.9751384258270264,0.6239910125732422,0.00390625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 275, 'spectral_radius': 0.8018071423356382, 'leak_rate': 0.14412662738833248}",{},11148
ESN,mnist_classification,0.345,,0.7491477272727272,0.365,5395.013105667755,2.116567850112915,0.5364272594451904,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 48, 'spectral_radius': 0.9284318110427415, 'leak_rate': 0.2721897710779979}",{},864
ESN,mnist_classification,0.46,,0.5956500065739196,0.77,173727.69291160122,5.175322771072388,0.7432971000671387,0.87109375,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 509, 'spectral_radius': 0.1925032379083792, 'leak_rate': 0.14673474878450832}",{},32535
ESN,mnist_classification,0.295,,0.3964671335529459,0.485,65344.79467222605,2.9983177185058594,0.6297628879547119,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 284, 'spectral_radius': 0.7876760734586206, 'leak_rate': 0.7496315169839398}",{},11768
ESN,mnist_classification,0.14,,0.42604166666666665,0.175,7928.420475182281,2.1736257076263428,0.5488502979278564,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 63, 'spectral_radius': 0.3880411607848364, 'leak_rate': 0.6636793029690394}",{},1226
ESN,mnist_classification,0.23,,0.24979656252680826,0.42,116527.99606709588,3.674898386001587,0.6779580116271973,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 393, 'spectral_radius': 0.6377514060225086, 'leak_rate': 0.8496241838030021}",{},20564
ESN,mnist_classification,0.165,,0.24225408944023072,0.275,49879.43766873728,2.802725315093994,0.6039493083953857,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 235, 'spectral_radius': 0.6153919758970421, 'leak_rate': 0.9205523966534234}",{},8588
ESN,mnist_classification,0.615,,0.7680198994553834,0.72,71252.8540518296,3.116920232772827,0.6304924488067627,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 305, 'spectral_radius': 0.16380163563276262, 'leak_rate': 0.10420194232988944}",{},13276
ESN,mnist_classification,0.4,,0.5267805458094251,0.62,84184.03436440026,3.314439296722412,0.6498394012451172,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 334, 'spectral_radius': 0.32777246800270665, 'leak_rate': 0.3824834598473946}",{},15508
ESN,mnist_classification,0.495,,0.6819078947368421,0.61,46445.552221411715,2.77109432220459,0.6085536479949951,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 234, 'spectral_radius': 0.05355935361408748, 'leak_rate': 0.29093814068260926}",{},8528
ESN,mnist_classification,0.24,,0.3254517318404492,0.51,103274.41807366878,3.4888670444488525,0.6650869846343994,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 371, 'spectral_radius': 0.1815916649585887, 'leak_rate': 0.5494065570763741}",{},18597
ESN,mnist_classification,0.205,,0.3173761139100838,0.4,61197.80675547119,2.9338812828063965,0.6224987506866455,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 270, 'spectral_radius': 0.23144510747349578, 'leak_rate': 0.6993789345776863}",{},10810
ESN,mnist_classification,0.12,,0.21964356940234553,0.3,114824.99141390616,3.6759982109069824,0.6772427558898926,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 393, 'spectral_radius': 0.3574154625441849, 'leak_rate': 0.9030416149821661}",{},20564
ESN,mnist_classification,0.175,,0.23666877507735623,0.43,150553.90894696713,4.184009313583374,0.7021632194519043,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 458, 'spectral_radius': 0.1958047915436637, 'leak_rate': 0.7261840636848303}",{},26940
ESN,mnist_classification,0.105,,0.24458608058608056,0.195,31533.635937256986,2.529174566268921,0.5907447338104248,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 176, 'spectral_radius': 0.3083994906543941, 'leak_rate': 0.8229266239128012}",{},5396
ESN,mnist_classification,0.335,,0.41465513437051466,0.635,167445.92477330248,4.466261148452759,0.7190959453582764,0.5390625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 494, 'spectral_radius': 0.8368234958380589, 'leak_rate': 0.5003498595919057}",{},30836
ESN,mnist_classification,0.17,,0.3782654379933792,0.21,19078.19140183423,2.3999040126800537,0.5733127593994141,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 128, 'spectral_radius': 0.03840380177175862, 'leak_rate': 0.5948345067017549}",{},3312
ESN,mnist_classification,0.365,,0.531473213231781,0.705,172780.08603017076,4.875757694244385,0.7389628887176514,-0.765625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 507, 'spectral_radius': 0.32817803373064436, 'leak_rate': 0.03566494293755751}",{},32306
ESN,mnist_classification,0.35,,0.39403591771354923,0.555,100110.37122748242,3.4945459365844727,0.6567661762237549,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 366, 'spectral_radius': 0.4759123540793353, 'leak_rate': 0.5201734483607264}",{},18164
ESN,mnist_classification,0.275,,0.33906799153681305,0.395,61604.005536676385,2.941225290298462,0.622779130935669,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 272, 'spectral_radius': 0.7322365318920875, 'leak_rate': 0.8356819621140319}",{},10944
ESN,mnist_classification,0.005,,0.14599583762117757,0.52,174368.60577170728,4.3992018699646,0.7237977981567383,0.40625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 485, 'spectral_radius': 0.051638697415961166, 'leak_rate': 0.005522686950444444}",{},29836
ESN,mnist_classification,0.055,,0.1837050339366516,0.13,56463.81189402618,2.8771233558654785,0.6148896217346191,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 258, 'spectral_radius': 0.22967611549914035, 'leak_rate': 0.9785426575832227}",{},10020
ESN,mnist_classification,0.295,,0.3495379840640204,0.61,172081.32020953693,4.549322843551636,0.7319252490997314,-0.18359375,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 500, 'spectral_radius': 0.3538450490590588, 'leak_rate': 0.4393635202799465}",{},31510
ESN,mnist_classification,0.575,,0.8192380413703942,0.62,19338.52636548402,2.3760175704956055,0.5750405788421631,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 133, 'spectral_radius': 0.09001587917801435, 'leak_rate': 0.17592373448210674}",{},3508
ESN,mnist_classification,0.245,,0.250563401241482,0.44,111181.34354370424,3.6321866512298584,0.6697089672088623,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 383, 'spectral_radius': 0.4480902277677854, 'leak_rate': 0.7166553072592214}",{},19658
ESN,mnist_classification,0.505,,0.6298263566546176,0.76,141819.70364987353,4.167889356613159,0.7062966823577881,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 454, 'spectral_radius': 0.010576315603661679, 'leak_rate': 0.05954224666068619}",{},26524
ESN,mnist_classification,0.32,,0.40301071925490534,0.63,143025.0214674456,4.105086326599121,0.7039752006530762,0.00390625,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 451, 'spectral_radius': 0.2371929873265668, 'leak_rate': 0.4107986205593692}",{},26213
ESN,mnist_classification,0.22,,0.42612987012987014,0.305,24713.634756963336,2.430318593978882,0.5751070976257324,0.0,"{'n_samples': 1000, 'path': 'datasets/mnist'}","{'n_units': 152, 'spectral_radius': 0.34437638684521477, 'leak_rate': 0.6459992259198244}",{},4296
