Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
ESN,sin_forecasting,,5.308790395547288,,,18650.15593852763,2.2460527420043945,0.02002263069152832,0.0234375,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 180, 'spectral_radius': 0.5928446182250183, 'leak_rate': 0.8442657485810173}",{},3457
ESN,sin_forecasting,,0.7252718894891701,,,37129.94617827825,2.311422824859619,0.02093219757080078,0.1171875,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 259, 'spectral_radius': 0.5448831829968969, 'leak_rate': 0.4236547993389047}",{},7020
ESN,sin_forecasting,,0.33048493613075464,,,44623.519350510855,2.342569351196289,0.021155118942260742,0.05078125,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 285, 'spectral_radius': 0.3843817072926998, 'leak_rate': 0.2975346065444723}",{},8464
ESN,sin_forecasting,,11.881755041202707,,,125625.36205251784,2.4804751873016357,0.023900985717773438,0.3828125,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 480, 'spectral_radius': 0.9636627605010293, 'leak_rate': 0.3834415188257777}",{},23617
ESN,sin_forecasting,,1.8560136243236238,,,132565.72540660697,2.4874935150146484,0.024512052536010742,0.02734375,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 494, 'spectral_radius': 0.8121687287754932, 'leak_rate': 0.4799771723750573}",{},24997
ESN,sin_forecasting,,965.4060595882083,,,66628.5864463998,2.3963706493377686,0.022229433059692383,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 345, 'spectral_radius': 0.925596638292661, 'leak_rate': 0.07103605819788694}",{},12316
ESN,sin_forecasting,,4.365174240466547,,,41520.93905033578,2.3242921829223633,0.021095752716064453,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 273, 'spectral_radius': 0.6481718720511972, 'leak_rate': 0.36824153984054797}",{},7781
ESN,sin_forecasting,,8.1593377523592,,,23986.74824798235,2.291957139968872,0.020184993743896484,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 205, 'spectral_radius': 0.7781567509498505, 'leak_rate': 0.8700121482468192}",{},4448
ESN,sin_forecasting,,14.08328649111532,,,66169.8516019746,2.400817394256592,0.022229909896850586,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 346, 'spectral_radius': 0.4736080452737105, 'leak_rate': 0.8009107519796442}",{},12389
ESN,sin_forecasting,,126.58650003771152,,,48319.24747868999,2.350205183029175,0.02156662940979004,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 293, 'spectral_radius': 0.7805291762864555, 'leak_rate': 0.11827442586893322}",{},8937
ESN,sin_forecasting,,2.909084012728875,,,48528.92371742637,2.3419392108917236,0.021571636199951172,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 296, 'spectral_radius': 0.5820197920751071, 'leak_rate': 0.5373732294490107}",{},9119
ESN,sin_forecasting,,0.09342448559937866,,,633.2279676778855,2.2007853984832764,0.01869058609008789,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 40, 'spectral_radius': 0.5218483217500717, 'leak_rate': 0.4146619399905236}",{},209
ESN,sin_forecasting,,0.7975447356731415,,,16538.489887093663,2.2480669021606445,0.020182371139526367,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 171, 'spectral_radius': 0.18633234332675996, 'leak_rate': 0.7369181771289581}",{},3130
ESN,sin_forecasting,,23.012626476778514,,,1554.4141476554073,2.19525408744812,0.018527507781982422,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'n_units': 36, 'spectral_radius': 0.5684339488686485, 'leak_rate': 0.018789800436355142}",{},175
