Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
LSTM,adding_problem,0.0,,0.0,0.0,1150273.6277666762,9.941087007522583,0.06077933311462402,396.73828125,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 52, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",216307
LSTM,adding_problem,0.0,,0.0,0.0,10121420.989334678,22.917991638183594,0.006745815277099609,1.65625,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 228, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1909539
LSTM,adding_problem,0.0,,0.0,0.0,1189019.5361169584,5.509955883026123,0.052381277084350586,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 102, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",223521
LSTM,adding_problem,0.0,,0.0,0.0,323225.08926823596,4.788010358810425,0.0015141963958740234,6.31640625,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 35, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",60064
LSTM,adding_problem,0.0,,0.0,0.0,8506833.588745907,34.94562578201294,0.0965888500213623,0.25,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 189, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1604838
LSTM,adding_problem,0.0,,0.0,0.0,2381194.229473496,10.117132902145386,0.0935661792755127,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 99, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",448608
LSTM,adding_problem,0.0,,0.0,0.0,3571289.584244924,18.225515365600586,0.049773216247558594,0.0703125,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 231, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",673404
LSTM,adding_problem,0.0,,0.0,0.0,878736.4776627715,8.848459959030151,0.019181251525878906,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 187, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",165160
LSTM,adding_problem,0.0,,0.0,0.0,3439465.29576171,8.779296636581421,0.07868409156799316,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 91, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",648232
LSTM,adding_problem,0.0,,0.0,0.0,2623347.558265127,9.663652420043945,0.08942055702209473,0.0390625,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 104, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",494143
LSTM,adding_problem,0.0,,0.0,0.0,268271.34285277175,3.6619646549224854,0.0011632442474365234,7.02734375,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 96, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",49863
LSTM,adding_problem,0.0,,0.0,0.0,685431.8345308132,4.351518154144287,0.010465145111083984,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 65, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",128674
LSTM,adding_problem,0.0,,0.0,0.0,91220.93162312762,4.0848307609558105,0.0011091232299804688,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 25, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",16314
LSTM,adding_problem,0.0,,0.0,0.0,3129281.6101750014,13.906182527542114,0.04510617256164551,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 168, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",589887
LSTM,adding_problem,0.0,,0.0,0.0,256158.26126157676,5.4367029666900635,0.0016551017761230469,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 25, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",47514
LSTM,adding_problem,0.0,,0.0,0.0,9042543.987922743,19.277061939239502,0.0043239593505859375,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 244, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1705843
LSTM,adding_problem,0.0,,0.0,0.0,2880444.9876557137,17.053813457489014,0.05100226402282715,0.24609375,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 161, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",542770
LSTM,adding_problem,0.0,,0.0,0.0,1363218.4311838706,11.972977638244629,0.017422914505004883,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 237, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",256710
LSTM,adding_problem,0.0,,0.0,0.0,2708017.4303503325,12.666429996490479,0.03763103485107422,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 156, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",510315
LSTM,adding_problem,0.0,,0.0,0.0,1391649.2916342658,4.846731185913086,0.04546165466308594,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 83, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",261904
LSTM,adding_problem,0.0,,0.0,0.0,1970178.4528385485,14.463351488113403,0.04040884971618652,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 170, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",371149
LSTM,adding_problem,0.0,,0.0,0.0,13103434.3031753,53.4917254447937,0.11834073066711426,0.58203125,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 179, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2472208
LSTM,adding_problem,0.0,,0.0,0.0,3219424.047040397,8.03305697441101,0.0721292495727539,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 88, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",606799
LSTM,adding_problem,0.0,,0.0,0.0,173702.02800768864,4.331921815872192,0.001215219497680664,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 31, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",31876
LSTM,adding_problem,0.0,,0.0,0.0,1795326.8566797106,13.989078283309937,0.03918790817260742,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 162, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",338133
LSTM,adding_problem,0.0,,0.0,0.0,86527.08684989435,5.668651342391968,0.0017232894897460938,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 13, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",15574
LSTM,adding_problem,0.0,,0.0,0.0,15841252.423137577,36.82455015182495,0.030536413192749023,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 238, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2989081
LSTM,adding_problem,0.0,,0.0,0.0,1109840.3535959604,4.367169141769409,0.04239177703857422,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 126, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",208569
LSTM,adding_problem,0.0,,0.0,0.0,3469098.9076663954,17.702481508255005,0.06429362297058105,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 150, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",653889
LSTM,adding_problem,0.0,,0.0,0.0,539944.0294415143,8.085889339447021,0.01501154899597168,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'hidden_size': 143, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",101140
