Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
LSTM,chaotic_forecasting,,173.82273142329635,,,7614631.381296364,7.532106399536133,0.010070562362670898,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 180, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1436943
LSTM,chaotic_forecasting,,169.97700014173958,,,5985182.383816109,5.436917781829834,0.005209684371948242,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 200, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1129403
LSTM,chaotic_forecasting,,170.91703897643,,,13186534.590159165,10.574034690856934,0.009370088577270508,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 203, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2488580
LSTM,chaotic_forecasting,,231.40223413101953,,,48431.78860972335,0.3227508068084717,0.14875197410583496,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 17, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",8894
LSTM,chaotic_forecasting,,230.9465702931872,,,96434.14973400433,0.27387404441833496,0.09350776672363281,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 29, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",17954
LSTM,chaotic_forecasting,,216.04435363848657,,,635180.2106196788,0.7836630344390869,0.3507823944091797,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 44, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",119639
LSTM,chaotic_forecasting,,198.7430913838334,,,2229225.876007069,1.1771771907806396,0.5302817821502686,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 78, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",420501
LSTM,chaotic_forecasting,,188.1483269800166,,,603002.3702189712,0.26715922355651855,0.1296522617340088,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 96, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",113571
LSTM,chaotic_forecasting,,163.32308491660444,,,18107947.0612515,10.573090314865112,0.009659528732299805,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 238, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3417445
LSTM,chaotic_forecasting,,195.57985332822068,,,3296658.772045473,1.1925060749053955,0.5370256900787354,0.0,"{'sequence_length': 1000, 'forecast_length': 10}","{'hidden_size': 95, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",621968
