Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
LSTM,continue_postcasting,,0.15886026660409772,,,2189349.0310871447,0.8851537704467773,0.36175012588500977,0.32421875,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 89, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",417322
LSTM,continue_postcasting,,0.18080183016726292,,,308897.9024400249,0.5389087200164795,0.22675395011901855,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 36, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",58933
LSTM,continue_postcasting,,0.1263705561140286,,,10575912.71871459,6.6572442054748535,0.006844758987426758,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 236, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2015677
LSTM,continue_postcasting,,0.17136937100980973,,,2697626.913182469,0.9942653179168701,0.40717220306396484,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 92, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",514189
LSTM,continue_postcasting,,0.14709723348681863,,,6596462.096070714,4.076723098754883,0.004216432571411133,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 250, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1257251
LSTM,continue_postcasting,,0.15830386478296127,,,2065754.7124317794,0.7515842914581299,0.3080325126647949,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 94, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",393767
LSTM,continue_postcasting,,0.1901760177577422,,,50785.40444575069,0.3083028793334961,0.13507723808288574,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 18, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",9739
LSTM,continue_postcasting,,0.16441874327517342,,,12153742.864828283,11.78196930885315,0.015399932861328125,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 184, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2316377
LSTM,continue_postcasting,,0.1682785106550032,,,6364794.81416802,10.027109861373901,0.010775566101074219,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 133, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1213094
LSTM,continue_postcasting,,0.15392457459846662,,,14495839.221676437,11.757179260253906,0.011075496673583984,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 201, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2762746
LSTM,continue_postcasting,,0.14722655114089603,,,4760449.834822079,6.401242733001709,0.0076923370361328125,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 143, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",907336
LSTM,continue_postcasting,,0.14918551637976632,,,7232556.2557042735,8.912909507751465,0.010305643081665039,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 151, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1378480
LSTM,continue_postcasting,,0.133667858086531,,,11027613.452479035,6.643107652664185,0.006807804107666016,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 241, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2101762
LSTM,continue_postcasting,,0.182601829814766,,,517878.25940554554,0.7165184020996094,0.3039560317993164,0.0,"{'sequence_length': 1000, 'delay': 10}","{'hidden_size': 40, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",98761
