Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
LSTM,copy_task,0.0,,0.0,0.0,6227366.802664396,20.516191244125366,0.1576986312866211,416.21484375,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 97, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",652044
LSTM,copy_task,0.0992,,0.00984064,0.0992,14757030.314179529,39.74334979057312,0.08829998970031738,5.1484375,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 173, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1575348
LSTM,copy_task,0.1088,,0.1659890122821591,0.3134,1463396.6866275906,4.583181858062744,0.0013499259948730469,0.39453125,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 60, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",135250
LSTM,copy_task,0.0,,0.03059134840968194,0.3028,5679930.571810724,18.88180160522461,0.05525779724121094,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 170, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",591270
LSTM,copy_task,0.0741,,0.1472944437993194,0.1817,1707606.3181965898,4.510943174362183,0.04392647743225098,1.26953125,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 113, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",161148
LSTM,copy_task,0.1003,,0.010060089999999999,0.1003,22544529.9333377,38.328994035720825,0.03100752830505371,0.6328125,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 215, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2427360
LSTM,copy_task,0.0489,,0.1449258611312073,0.114,902334.3022344117,3.93881893157959,0.0020303726196289062,0.21484375,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 77, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",76548
LSTM,copy_task,0.0598,,0.1487258330166981,0.2066,1636083.7371953966,4.469228267669678,0.04365086555480957,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 109, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",150212
LSTM,copy_task,0.0179,,0.16180956340128672,0.3916,3595910.38075855,7.890503406524658,0.0744333267211914,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 111, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",354544
LSTM,copy_task,0.0042,,0.031186742978723408,0.295,2033779.3406032808,4.738439559936523,0.045986175537109375,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 126, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",199342
LSTM,copy_task,0.0422,,0.1500912413236733,0.2922,6923548.64128066,16.650557279586792,0.05338692665100098,0.07421875,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 188, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",721554
LSTM,copy_task,0.0261,,0.17066255277785375,0.4046,544138.3709014978,4.646939992904663,0.001077890396118164,1.015625,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 28, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",30866
LSTM,copy_task,0.0084,,0.17666734470032897,0.5117,3019080.0052531194,6.814789295196533,0.06354928016662598,1.96875,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 73, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",285148
LSTM,copy_task,0.0,,0.0,0.0,5315640.705799567,12.966641426086426,0.12034082412719727,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 102, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",552238
LSTM,copy_task,0.0374,,0.1388294310417588,0.2447,1881325.0915299018,4.592877388000488,0.044591665267944336,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 117, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",172468
LSTM,copy_task,0.0026,,0.029758114166666665,0.2016,1440994.152997239,8.971133947372437,0.017940759658813477,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 171, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",127576
LSTM,copy_task,0.0219,,0.16412217691500772,0.4399,1384656.930271838,4.933855056762695,0.04566216468811035,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 50, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",115110
LSTM,copy_task,0.0155,,0.15205488248036828,0.4084,4364620.04470527,8.68789267539978,0.08176994323730469,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 123, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",434200
LSTM,copy_task,0.0,,0.03919683,0.3955,1683392.203764358,4.3978047370910645,0.0017642974853515625,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 73, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",155500
LSTM,copy_task,0.0,,0.03034489,0.3017,3628478.310697358,7.9580559730529785,0.07391142845153809,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 71, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",310848
LSTM,copy_task,0.0,,0.05104503,0.5051,25714162.7957846,32.57510304450989,0.007401466369628906,0.49609375,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 228, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2728258
LSTM,copy_task,0.0844,,0.17450033353679498,0.3887,2574164.38894272,5.355225563049316,0.05034136772155762,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 83, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",255816
LSTM,copy_task,0.0,,0.0,0.0,5641831.394919351,13.291400671005249,0.12413525581359863,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 106, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",595942
LSTM,copy_task,0.0,,0.039821129999999996,0.3991,15069150.546806242,20.11000370979309,0.00451350212097168,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 236, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1579794
LSTM,copy_task,0.0992,,0.00984064,0.0992,18346758.690269742,53.26494550704956,0.1151571273803711,0.25,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 169, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1963452
LSTM,copy_task,0.0,,0.03884127,0.3937,11745189.360509904,23.03920030593872,0.03423738479614258,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 207, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1217584
LSTM,copy_task,0.0,,0.019940890000000003,0.1997,19899093.14052196,53.764477252960205,0.11701393127441406,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 175, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2104560
LSTM,copy_task,0.0,,0.02076089,0.2037,13329973.861147912,36.39580988883972,0.09139585494995117,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 175, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1365360
LSTM,copy_task,0.0,,0.0407851,0.4038,40137021.12920977,55.78762125968933,0.03201603889465332,0.2578125,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 237, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",4300612
LSTM,copy_task,0.0511,,0.17426284427574615,0.4568,1158801.6721915677,4.882335186004639,0.0014774799346923828,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 46, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",97806
LSTM,copy_task,0.0456,,0.13628832605566293,0.2485,6529610.445060692,19.670711517333984,0.051772356033325195,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 235, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",679160
LSTM,copy_task,0.0252,,0.1290210230139427,0.0352,1745096.0502280104,12.605831384658813,0.017600536346435547,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 199, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",170752
LSTM,copy_task,0.0,,0.020100129999999997,0.2005,7796722.1825675685,16.94567894935608,0.15696096420288086,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 109, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",821652
LSTM,copy_task,0.0128,,0.17878209876562418,0.4732,5478187.53037259,12.70278024673462,0.11829471588134766,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 102, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",552238
LSTM,copy_task,0.0,,0.04064942999999999,0.4031,12810059.310840882,21.749783992767334,0.027853012084960938,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 253, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1299924
LSTM,copy_task,0.0708,,0.06990658798448385,0.1124,245227.78278075784,3.7027173042297363,0.000701904296875,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 25, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",4060
LSTM,copy_task,0.0,,0.04068129,0.4033,2905085.6728952993,7.752572059631348,0.07185149192810059,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 65, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",261180
LSTM,copy_task,0.043,,0.03240645922773129,0.1346,539744.3141013583,3.698887348175049,0.0007617473602294922,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 63, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",19792
LSTM,copy_task,0.0,,0.030000980000000003,0.3,26120724.406323526,37.82221984863281,0.038692474365234375,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 250, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2775510
LSTM,copy_task,0.0192,,0.17204403878992588,0.4091,780591.9953956346,4.389891147613525,0.0011644363403320312,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 42, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",53014
LSTM,copy_task,0.0653,,0.1770344179839707,0.166,743768.7180059982,3.942133903503418,0.0011348724365234375,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 65, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",55260
LSTM,copy_task,0.1101,,0.19518330796703934,0.5321,10971311.089309178,27.11987805366516,0.05799055099487305,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 148, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1155298
LSTM,copy_task,0.0341,,0.1509904234840186,0.3296,12204172.27787668,16.34158968925476,0.0040743350982666016,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 252, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1289746
LSTM,copy_task,0.103,,0.02205901,0.1071,4768272.075251976,12.489250659942627,0.003233671188354492,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 200, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",494010
LSTM,copy_task,0.0,,0.02909658,0.295,2422349.036325105,5.7004170417785645,0.0525054931640625,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 62, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",206718
LSTM,copy_task,0.0,,0.030953300000000003,0.3046,8360238.113247581,16.14261031150818,0.14964914321899414,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 118, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",849374
LSTM,copy_task,0.0196,,0.048896880600709486,0.0196,351604.0355821079,3.7058157920837402,0.0007574558258056641,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'delay': 10, 'n_symbols': 10}","{'hidden_size': 60, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",18130
