Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
LSTM,discrete_pattern_completion,0.03605,,0.1476852315022854,0.59315,39952267.072650805,42.00122261047363,0.027072906494140625,405.60546875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 254, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3903484
LSTM,discrete_pattern_completion,0.06135,,0.1846106683492878,0.5345,2221025.449709251,5.4666478633880615,0.0017390251159667969,18.69140625,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 53, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",152440
LSTM,discrete_pattern_completion,0.0736,,0.15789213759602072,0.68135,31692201.219718754,37.97537302970886,0.026317834854125977,3.3203125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 225, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3066312
LSTM,discrete_pattern_completion,0.1216,,0.17535004080390634,0.82685,40123133.70571628,48.0029993057251,0.03450274467468262,3.67578125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 239, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3916744
LSTM,discrete_pattern_completion,0.03185,,0.1486939713654059,0.57115,25743055.993011832,34.77713942527771,0.031100749969482422,3.5,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 217, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2474680
LSTM,discrete_pattern_completion,0.2967,,0.35280087527227827,0.9369,846667.7813654374,3.8763020038604736,0.0008652210235595703,4.03125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 54, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",39324
LSTM,discrete_pattern_completion,0.3669,,0.4162859195875557,0.92,10012382.871855484,17.14009666442871,0.07401537895202637,3.28125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 184, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",965644
LSTM,discrete_pattern_completion,0.3749,,0.6944254884073254,0.81985,162654.44965220673,3.627591371536255,0.0007071495056152344,4.0390625,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 26, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",4588
LSTM,discrete_pattern_completion,0.74295,,0.40518989587332305,0.96325,1947398.1254665605,3.9948458671569824,0.03934025764465332,3.73828125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 103, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",135560
LSTM,discrete_pattern_completion,0.0357,,0.2187467701948444,0.4352,1490402.6251895796,6.3453309535980225,0.05858325958251953,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 36, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",103692
LSTM,discrete_pattern_completion,0.11105,,0.2054963269469968,0.87475,33837668.48986056,46.97158932685852,0.03284144401550293,3.51171875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 206, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3254812
LSTM,discrete_pattern_completion,0.0082,,0.13822148537562665,0.4171,2092420.169583844,4.538745641708374,0.0012640953063964844,4.015625,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 56, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",118732
LSTM,discrete_pattern_completion,0.12145,,0.21937312514742915,0.8762,32733893.311084922,47.732778549194336,0.03387022018432617,0.25,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 202, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3130204
LSTM,discrete_pattern_completion,0.11755,,0.1864060244649648,0.78905,35685662.247742,46.74369788169861,0.033907175064086914,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 225, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3473112
LSTM,discrete_pattern_completion,0.01325,,0.15586500585965213,0.52245,7613846.607646811,11.53159761428833,0.10893750190734863,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 112, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",665740
LSTM,discrete_pattern_completion,0.64755,,0.5524108529757277,0.9068,445091.26037297765,3.640265464782715,0.0008928775787353516,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 81, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",32088
LSTM,discrete_pattern_completion,0.0031,,0.13327421319995175,0.51135,18160221.023429476,30.492628812789917,0.03819918632507324,3.796875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 215, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1686472
LSTM,discrete_pattern_completion,0.61365,,0.45567764470017563,0.9417,2701414.9164234293,5.324261665344238,0.04987955093383789,1.45703125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 104, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",225484
LSTM,discrete_pattern_completion,0.0019,,0.13366209339107593,0.51455,13811483.589128057,31.066879510879517,0.11428451538085938,2.0625,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 185, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1251352
LSTM,discrete_pattern_completion,0.08125,,0.21235055597243344,0.4312,1837708.4423996143,5.877969026565552,0.05450081825256348,3.8046875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 44, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",137644
LSTM,discrete_pattern_completion,0.10295,,0.16048506052460978,0.76165,39806273.95623768,47.863189935684204,0.03493809700012207,4.0625,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 238, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3884172
LSTM,discrete_pattern_completion,0.67525,,0.4673610892043699,0.9393,4704022.887678988,11.951761960983276,0.037308692932128906,3.80078125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 144, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",427404
LSTM,discrete_pattern_completion,0.1025,,0.1960861366097832,0.71295,10822523.060966868,17.615877866744995,0.16350340843200684,3.52734375,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 114, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1004124
LSTM,discrete_pattern_completion,0.0026,,0.12926282685224738,0.5113,23937062.922022812,32.29926943778992,0.03975629806518555,3.80078125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 249, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2257944
LSTM,discrete_pattern_completion,0.00645,,0.15406969168686357,0.55155,10818719.23737184,15.24612045288086,0.1438617706298828,3.54296875,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 120, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",995532
LSTM,discrete_pattern_completion,0.7854,,0.45922862466220576,0.956,3923650.7007125444,13.904266595840454,0.041448354721069336,3.80078125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 166, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",343964
LSTM,discrete_pattern_completion,0.63655,,0.8171731494304744,0.8136,140560.82185101905,3.637274742126465,0.00070953369140625,3.80078125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 29, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",5464
LSTM,discrete_pattern_completion,0.08135,,0.17839196468208926,0.6935,17109611.36246479,38.20596933364868,0.08685016632080078,3.80078125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 163, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1615016
LSTM,discrete_pattern_completion,0.0292,,0.149147394155377,0.2599,621069.9781424415,4.565489768981934,0.0010247230529785156,3.80078125,"{'n_samples': 1000, 'sequence_length': 100, 'n_symbols': 12, 'base_length': 20, 'mask_ratio': 0.2}","{'hidden_size': 16, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",10892
