Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
LSTM,selective_copy_task,0.0,,0.029829875000000002,0.2985,28731594.160558756,53.05567502975464,0.032984018325805664,402.9453125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 238, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3427686
LSTM,selective_copy_task,0.026,,0.07831772036988954,0.1725,14533166.865767954,26.88440704345703,0.03685355186462402,1.546875,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 247, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1730492
LSTM,selective_copy_task,0.03175,,0.05784651050884034,0.17025,3060054.249488186,14.984390020370483,0.0364985466003418,8.34765625,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 132, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",359314
LSTM,selective_copy_task,0.0445,,0.10453765761362394,0.1795,474841.0480862464,4.779525518417358,0.0021741390228271484,8.06640625,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 46, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",46102
LSTM,selective_copy_task,0.0815,,0.033245963672806786,0.128,1951104.2599734818,6.437582015991211,0.05963706970214844,0.2578125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 104, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",224858
LSTM,selective_copy_task,0.02775,,0.10427795456820055,0.28525,1086437.8029118546,4.317528486251831,0.006121635437011719,0.24609375,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 73, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",112576
LSTM,selective_copy_task,0.0955,,0.00912025,0.0955,13797169.884800363,38.50745248794556,0.03685617446899414,0.7265625,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 213, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1654168
LSTM,selective_copy_task,0.0,,0.0,0.0,23779787.628711496,57.93097448348999,0.03452610969543457,1.24609375,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 193, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2857568
LSTM,selective_copy_task,0.10875,,0.0118265625,0.10875,7443710.01494591,26.36817741394043,0.0930032730102539,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 175, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",873260
LSTM,selective_copy_task,0.05775,,0.05057449064990684,0.1665,191667.8445757557,4.813542127609253,0.0012140274047851562,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 14, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",8438
LSTM,selective_copy_task,0.046,,0.08723572432606931,0.1095,671352.8958753662,5.782723903656006,0.05331254005432129,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 35, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",67700
LSTM,selective_copy_task,0.03925,,0.1287980208882521,0.1515,231814.49242794083,4.09291934967041,0.0009543895721435547,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 37, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",19176
LSTM,selective_copy_task,0.0,,0.029453375,0.297,943172.507547649,6.096076488494873,0.05602622032165527,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 43, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",101060
LSTM,selective_copy_task,0.0335,,0.1200798524869434,0.1855,123135.95891722437,4.107446193695068,0.0009365081787109375,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 18, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",5230
LSTM,selective_copy_task,0.00675,,0.050132393754410656,0.192,5794911.8262787545,15.706082344055176,0.027997255325317383,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 236, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",685826
LSTM,selective_copy_task,0.0,,0.0207570625,0.20375,13065042.129594697,45.13749837875366,0.08936524391174316,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 159, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1536268
LSTM,selective_copy_task,0.0,,0.029828888157894737,0.29425,3091609.342855045,18.016639232635498,0.0428774356842041,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 167, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",347036
LSTM,selective_copy_task,0.0,,0.0,0.0,674770.9010716017,5.669532775878906,0.05236458778381348,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 36, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",71506
LSTM,selective_copy_task,0.0,,0.031110125,0.3055,3636045.9338595513,18.714616060256958,0.04333019256591797,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 139, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",397828
LSTM,selective_copy_task,0.0,,0.030686187500000003,0.30325,2186231.586352649,6.739646673202515,0.06184840202331543,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 60, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",223330
LSTM,selective_copy_task,0.061,,0.13094402105957023,0.163,5273333.148037963,13.765642881393433,0.12790822982788086,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 118, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",625174
LSTM,selective_copy_task,0.09075,,0.03501879171051679,0.10275,98219.47763813459,4.331441164016724,0.000965118408203125,0.2578125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 9, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2368
LSTM,selective_copy_task,0.053,,0.11359730803247618,0.228,2898357.931799585,7.56701922416687,0.07034420967102051,2.2578125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 127, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",333004
LSTM,selective_copy_task,0.00825,,0.030298306954914467,0.193,5770556.957941474,22.86809206008911,0.0625917911529541,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 183, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",684796
LSTM,selective_copy_task,0.04075,,0.10954761455652123,0.1785,128057.46840534892,4.095749855041504,0.0008654594421386719,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 22, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",7446
LSTM,selective_copy_task,0.10175,,0.0103530625,0.10175,32929735.62941461,41.84141802787781,0.008687734603881836,0.25,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 256, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3963402
LSTM,selective_copy_task,0.0,,0.020706125,0.2035,27335297.015287794,61.08903217315674,0.03472161293029785,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 207, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3285100
LSTM,selective_copy_task,0.0,,0.03914494164364641,0.34025,6794394.759758171,15.92234468460083,0.02903151512145996,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 252, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",780706
LSTM,selective_copy_task,0.0955,,0.00912025,0.0955,20804407.55456362,54.59929895401001,0.12169647216796875,0.2578125,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 180, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2487250
LSTM,selective_copy_task,0.0,,0.0267536875,0.28325,18806449.606515314,43.16095423698425,0.03226137161254883,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 206, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2230166
LSTM,selective_copy_task,0.10475,,0.0109725625,0.10475,1389651.2460961714,4.860345125198364,0.0015234947204589844,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 62, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",144470
LSTM,selective_copy_task,0.025,,0.04731017716535433,0.03,782319.1813717465,9.602444171905518,0.015491724014282227,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 137, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",84128
LSTM,selective_copy_task,0.0,,0.040951875,0.4045,14802609.151055487,47.537627935409546,0.09637689590454102,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 183, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1762300
LSTM,selective_copy_task,0.035,,0.06298633555504614,0.1755,223361.67944428406,4.3306357860565186,0.0009911060333251953,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 24, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",13498
LSTM,selective_copy_task,0.0,,0.038387375,0.3915,3576450.4367499165,18.67830538749695,0.04354214668273926,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 139, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",397828
LSTM,selective_copy_task,0.0595,,0.02726490625,0.13275,4293576.770840212,21.34155774116516,0.06784868240356445,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 133, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",507272
LSTM,selective_copy_task,0.0,,0.032159687500000006,0.31025,20832969.491553437,32.56889820098877,0.008478403091430664,0.09765625,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 236, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2475650
LSTM,selective_copy_task,0.0,,0.0,0.0,19086805.907143783,42.391902446746826,0.03447246551513672,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 227, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2291348
LSTM,selective_copy_task,0.0,,0.017393125,0.1865,1214146.0843964564,4.56482720375061,0.0019576549530029297,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 68, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",135602
LSTM,selective_copy_task,0.0,,0.029453375,0.297,31422630.387233067,50.427061319351196,0.034850120544433594,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 249, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3750448
LSTM,selective_copy_task,0.0,,0.031540187500000004,0.30725,8776632.703726135,29.11538314819336,0.061783552169799805,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 152, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1032698
LSTM,selective_copy_task,0.0545,,0.012185149265131538,0.05575000000000001,1697405.074354292,12.155437707901001,0.01255035400390625,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 212, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",193778
LSTM,selective_copy_task,0.035,,0.07680591199707798,0.17025,406340.6960947203,6.540840148925781,0.057474613189697266,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 20, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",33170
LSTM,selective_copy_task,0.0,,0.039547551136363636,0.3275,8512564.895529538,22.906641244888306,0.02709484100341797,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 223, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1012876
LSTM,selective_copy_task,0.0,,0.0,0.0,10666814.761272512,40.53691864013672,0.08283090591430664,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 136, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1275418
LSTM,selective_copy_task,0.05525,,0.04727647260126707,0.1435,2371505.351948734,7.239350080490112,0.06720185279846191,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 115, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",273940
LSTM,selective_copy_task,0.0,,0.019338124999999998,0.1965,6971304.753319206,15.566838502883911,0.14476490020751953,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 124, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",813698
LSTM,selective_copy_task,0.0,,0.04023037499999999,0.401,4383096.090888857,13.197197198867798,0.12291836738586426,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 107, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",515108
LSTM,selective_copy_task,0.0,,0.04023037499999999,0.401,3666753.271745284,7.986178874969482,0.07505249977111816,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 87, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",403516
LSTM,selective_copy_task,0.0,,0.0412799375,0.40575,7818367.6974299075,26.74851107597351,0.0760653018951416,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 156, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",891394
LSTM,selective_copy_task,0.0,,0.0,0.0,1620622.7963487273,7.112890958786011,0.06527447700500488,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 55, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",188220
LSTM,selective_copy_task,0.0,,0.041042749999999996,0.4045,19819104.0237056,42.37551784515381,0.03439760208129883,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 230, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2351990
LSTM,selective_copy_task,0.0,,0.0189140625,0.19425,18360210.8190056,40.84127902984619,0.03807258605957031,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 246, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2202694
LSTM,selective_copy_task,0.06,,0.06445576595555542,0.127,316139.7556234452,5.215331792831421,0.0014600753784179688,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 21, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",25336
LSTM,selective_copy_task,0.01325,,0.04667953237596376,0.21125,2576219.8636663165,16.109850645065308,0.035295963287353516,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'delay': 10, 'n_markers': 20, 'n_symbols': 10}","{'hidden_size': 151, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",284796
