Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
LSTM,sorting_problem,0.0,,0.020450419999999997,0.2022,7954817.435708865,28.719486713409424,0.07743668556213379,382.91796875,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 143, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",778216
LSTM,sorting_problem,0.0308,,0.09939332756471184,0.0701,1718321.899235274,6.162272214889526,0.05716848373413086,20.57421875,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 46, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",158894
LSTM,sorting_problem,0.0,,0.02923281,0.2961,13345634.201538611,33.17794847488403,0.07026171684265137,0.76953125,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 150, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1397710
LSTM,sorting_problem,0.0185,,0.10255659523101944,0.2288,3171220.0164021887,12.384204149246216,0.0347294807434082,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 149, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",306652
LSTM,sorting_problem,0.0,,0.021341859999999997,0.2066,28510695.67534634,47.76013517379761,0.03326678276062012,0.58203125,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 199, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3076152
LSTM,sorting_problem,0.0311,,0.1004144708250746,0.1968,3680812.4838689393,8.573372602462769,0.08073663711547852,18.6640625,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 97, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",367252
LSTM,sorting_problem,0.025,,0.0997822159819418,0.1926,21036791.6113915,34.36517882347107,0.029885292053222656,0.45703125,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 205, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2248860
LSTM,sorting_problem,0.0752,,0.07819869449475877,0.0916,261676.55603309028,4.538205623626709,0.0058536529541015625,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 11, 'num_layers': 5, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",7600
LSTM,sorting_problem,0.0399,,0.1010945619719889,0.1415,594324.8974194663,3.8610332012176514,0.0013315677642822266,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 45, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",36460
LSTM,sorting_problem,0.0,,0.030400240000000002,0.3016,27899474.2213514,37.71993637084961,0.028638362884521484,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 221, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",3000748
LSTM,sorting_problem,0.0299,,0.10226137707476073,0.1007,2078712.9058770228,6.047147989273071,0.05736494064331055,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 52, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",200834
LSTM,sorting_problem,0.1031,,0.01062961,0.1031,27663668.552911315,33.51750373840332,0.007708549499511719,18.94921875,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 220, 'num_layers': 8, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2973970
LSTM,sorting_problem,0.0158,,0.1007400614049883,0.2394,5289034.572789036,11.618326902389526,0.003058910369873047,-37.16796875,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 200, 'num_layers': 2, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",534010
LSTM,sorting_problem,0.0266,,0.10105335864474184,0.1192,2866054.60643449,6.17231822013855,0.05800366401672363,18.30859375,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 71, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",284152
LSTM,sorting_problem,0.0,,0.0,0.0,43711860.196326345,51.49253702163696,0.03352618217468262,0.41796875,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 247, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",4719192
LSTM,sorting_problem,0.0285,,0.09149606951316971,0.0815,759425.6866450775,5.751207590103149,0.051697492599487305,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 27, 'num_layers': 10, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",64432
LSTM,sorting_problem,0.0,,0.01969265,0.1983,26433941.9575951,37.50134205818176,0.007989645004272461,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 200, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2785210
LSTM,sorting_problem,0.0208,,0.10105967790145215,0.2283,8554891.948315497,12.22964859008789,0.11521410942077637,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 128, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",891658
LSTM,sorting_problem,0.0315,,0.0984185435803015,0.1254,1963616.839922788,4.802990674972534,0.0019958019256591797,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 62, 'num_layers': 6, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",187870
LSTM,sorting_problem,0.0138,,0.10138641239643012,0.159,4407478.389955024,6.483028888702393,0.060404062271118164,19.1640625,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 90, 'num_layers': 7, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",449110
LSTM,sorting_problem,0.0245,,0.09806292743949567,0.2048,7214474.921819268,18.052454471588135,0.059810638427734375,18.3125,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 186, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",743638
LSTM,sorting_problem,0.0,,0.029493650000000003,0.2973,27006760.78683459,45.66998267173767,0.0335543155670166,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 202, 'num_layers': 9, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",2840534
LSTM,sorting_problem,0.0373,,0.10757727521560743,0.1883,1096396.8736235788,4.316158771514893,0.00180816650390625,18.96484375,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 51, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",87424
LSTM,sorting_problem,0.0318,,0.10206272364994105,0.1358,3002980.3200437077,9.62458062171936,0.013885498046875,0.2578125,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 240, 'num_layers': 1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",293290
LSTM,sorting_problem,0.027,,0.10016802926834659,0.1742,1719262.2741432753,4.119138717651367,0.0019140243530273438,18.53125,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 81, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",153748
LSTM,sorting_problem,0.0424,,0.09994540181638673,0.1159,429398.92688616074,4.313376426696777,0.0014178752899169922,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 21, 'num_layers': 4, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",18364
LSTM,sorting_problem,0.0154,,0.10232595963153296,0.2442,13019230.241244446,19.6117205619812,0.02839970588684082,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 255, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",1371400
LSTM,sorting_problem,0.0317,,0.10107407087716605,0.1889,1328961.8339889166,4.112224340438843,0.0018286705017089844,0.0,"{'n_samples': 1000, 'sequence_length': 50, 'n_symbols': 10}","{'hidden_size': 68, 'num_layers': 3, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",111394
