Model,Task,Accuracy,MSE,Precision,Recall,BIC,Training Time (s),Inference Time (s),Memory Usage (MB),Task Args,Model Args,Training Args,Number Params
TransformerDecoderOnly,adding_problem,0.0,,0.00795430100509072,0.185,113259.96369094422,6.095000505447388,0.029431581497192383,418.3046875,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': 16, 'nhead': 4, 'num_layers': 5, 'dim_feedforward': 64, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",17431
TransformerDecoderOnly,adding_problem,0.0,,0.007308514492753623,0.165,750265.7362287815,2.0122532844543457,0.006001472473144531,0.0859375,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': 64, 'nhead': 8, 'num_layers': 4, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",137895
TransformerDecoderOnly,adding_problem,0.0,,0.0098357366843497,0.28,306200.684385621,1.9527645111083984,0.020624876022338867,9.73046875,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': 32, 'nhead': 4, 'num_layers': 4, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",52839
TransformerDecoderOnly,adding_problem,0.0,,0.011715522372852217,0.21,288519.04960235575,1.6319761276245117,0.0032312870025634766,6.79296875,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': 32, 'nhead': 2, 'num_layers': 4, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",52839
TransformerDecoderOnly,adding_problem,0.0,,0.012749252872482367,0.175,248669.69801988028,3.3373866081237793,0.008424043655395508,52.14453125,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': 16, 'nhead': 8, 'num_layers': 8, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",44167
TransformerDecoderOnly,adding_problem,0.0,,0.007898076923076923,0.215,100416.947745612,0.984257698059082,0.002000093460083008,6.25,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': 16, 'nhead': 2, 'num_layers': 2, 'dim_feedforward': 128, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",11815
TransformerDecoderOnly,adding_problem,0.0,,0.006786349693251534,0.18,304079.9390069391,0.6134216785430908,0.0022809505462646484,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': 64, 'nhead': 8, 'num_layers': 1, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",53991
TransformerDecoderOnly,adding_problem,0.0,,0.005540909090909091,0.115,587106.8518524732,1.9509820938110352,0.004050493240356445,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': 32, 'nhead': 2, 'num_layers': 5, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",107143
TransformerDecoderOnly,adding_problem,0.0,,0.00643095424397257,0.13,688652.077080935,2.2643489837646484,0.00478672981262207,2.765625,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': 32, 'nhead': 2, 'num_layers': 6, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",128167
TransformerDecoderOnly,adding_problem,0.0,,0.016571856490109473,0.165,601831.8659113494,1.9510493278503418,0.004034996032714844,0.0,"{'n_samples': 1000, 'sequence_length': 100, 'max_number': 20}","{'d_model': 32, 'nhead': 2, 'num_layers': 5, 'dim_feedforward': 256, 'dropout': 0.1, 'learning_rate': 0.001, 'device': 'cuda'}","{'epochs': 10, 'batch_size': 10}",107143
